Name,Location,Rank,Name_2,Rank_2
Princeton University,"Princeton, NJ",1,Princeton University (NJ),1
Harvard University,"Cambridge, MA",2,Harvard University (MA),2
University of Chicago,"Chicago, IL",3,Columbia University (NY),3
Yale University,"New Haven, CT",3,Massachusetts Institute of Technology,3
Columbia University,"New York, NY",5,Yale University (CT),3
Stanford University,"Stanford, CA",5,Stanford University (CA),6
Massachusetts Institute of Technology,"Cambridge, MA",7,University of Chicago,6
Duke University,"Durham, NC",8,University of Pennsylvania,6
University of Pennsylvania,"Philadelphia, PA",8,Northwestern University (IL),9
Johns Hopkins University,"Baltimore, MD",10,Duke University (NC),10
Dartmouth College,"Hanover, NH",11,Johns Hopkins University (MD),10
California Institute of Technology,"Pasadena, CA",12,California Institute of Technology,12
Northwestern University,"Evanston, IL",12,Dartmouth College (NH),12
Brown University,"Providence, RI",14,Brown University (RI),14
Cornell University,"Ithaca, NY",15,University of Notre Dame (IN),15
Rice University,"Houston, TX",15,Vanderbilt University (TN),15
University of Notre Dame,"Notre Dame, IN",15,Cornell University (NY),17
Vanderbilt University,"Nashville, TN",15,Rice University (TX),17
Washington University in St. Louis,"St. Louis, MO",19,Washington University in St. Louis,19
Emory University,"Atlanta, GA",20,University of California--Los Angeles,20
Georgetown University,"Washington, DC",20,Emory University (GA),21
University of California--Berkeley,"Berkeley, CA",20,University of California--Berkeley,22
University of Southern California,"Los Angeles, CA",23,University of Southern California,22
Carnegie Mellon University,"Pittsburgh, PA",24,Georgetown University (DC),24
University of California--Los Angeles,"Los Angeles, CA",24,Carnegie Mellon University (PA),25
University of Virginia,"Charlottesville, VA",24,University of Michigan--Ann Arbor,25
Tufts University,"Medford, MA",27,Wake Forest University (NC),27
University of Michigan--Ann Arbor,"Ann Arbor, MI",27,University of Virginia,28
Wake Forest University,"Winston-Salem, NC",27,Georgia Institute of Technology,29
University of North Carolina--Chapel Hill,"Chapel Hill, NC",30,New York University,29
Boston College,"Chestnut Hill, MA",31,Tufts University (MA),29
College of William & Mary,"Williamsburg, VA",32,U. of North Carolina--Chapel Hill,29
University of Rochester,"Rochester, NY",32,University of Rochester (NY),29
Brandeis University,"Waltham, MA",34,University of California--Santa Barbara,34
Georgia Institute of Technology,"Atlanta, GA",34,University of Florida,34
New York University,"New York, NY",36,University of California--Irvine,36
Case Western Reserve University,"Cleveland, OH",37,Boston College,37
University of California--Santa Barbara,"Santa Barbara, CA",37,University of California--San Diego,37
Boston University,"Boston, MA",39,University of California--Davis,39
Northeastern University,"Boston, MA",39,Boston University,40
Rensselaer Polytechnic Institute,"Troy, NY",39,Brandeis University (MA),40
Tulane University,"New Orleans, LA",39,Case Western Reserve Univ. (OH),40
University of California--Irvine,"Irvine, CA",39,College of William & Mary (VA),40
Lehigh University,"Bethlehem, PA",44,Northeastern University (MA),40
University of California--Davis,"Davis, CA",44,Tulane University (LA),40
University of California--San Diego,"La Jolla, CA",44,Univ. of Wisconsin--Madison,46
University of Illinois--Urbana-Champaign,"Champaign, IL",44,Villanova University (PA),46
University of Miami,"Coral Gables, FL",44,University of Illinois--Urbana-Champaign,48
University of Wisconsin--Madison,"Madison, WI",44,University of Texas--Austin,48
Pepperdine University,"Malibu, CA",50,Lehigh University (PA),50
University of Florida,"Gainesville, FL",50,Pepperdine University (CA),50
Villanova University,"Villanova, PA",50,Rensselaer Polytechnic Inst. (NY),50
Pennsylvania State University--University Park,"University Park, PA",50,University of Georgia,50
The Ohio State University Columbus,"Columbus, OH",54,Ohio State University--Columbus,54
University of Washington Seattle,"Seattle, WA",54,Santa Clara University (CA),54
George Washington University,"Washington, DC",56,Syracuse University (NY),54
Southern Methodist University,"Dallas, TX",56,Florida State University,57
University of Georgia,"Athens, GA",56,Pennsylvania State U.--Univ. Park,57
UT Austin,"Austin, TX",56,Purdue University--West Lafayette (IN),57
University of Texas--Austin,"Austin, TX",56,University of Miami (FL),57
Fordham University,"New York, NY",60,University of Pittsburgh,57
Purdue University,"West Lafayette, IN",60,Rutgers University--New Brunswick (NJ),62
Syracuse University,"Syracuse, NY",60,University of Washington,62
University of Connecticut,"Storrs, CT",60,Loyola Marymount University (CA),64
University of Maryland--College Park,"College Park, MD",60,Southern Methodist University (TX),64
Worcester Polytechnic Institute,"Worcester, MA",60,University of Connecticut,64
Clemson University,"Clemson, SC",66,Univ. of Maryland--College Park,64
Yeshiva University,"New York, NY",66,Univ. of Massachusetts--Amherst,64
Brigham Young University--Provo,"Provo, UT",68,Worcester Polytechnic Inst. (MA),64
University of Pittsburgh,"Pittsburgh, PA",68,Clemson University (SC),70
Rutgers University--New Brunswick,"Piscataway, NJ",70,George Washington University (DC),70
Baylor University,"Waco, TX",71,Texas A&M University--College Station,70
Stevens Institute of Technology,"Hoboken, NJ",71,University of Minnesota--Twin Cities,70
University of Minnesota,"Minneapolis, MN",71,Fordham University (NY),74
American University,"Washington, DC",74,Stevens Institute of Technology (NJ),74
Clark University,"Worcester, MA",74,Virginia Tech,74
Texas A&M University,"College Station, TX",74,American University (DC),77
University of Massachusetts--Amherst,"Amherst, MA",74,Brigham Young Univ.--Provo (UT),77
Virginia Tech University,"Blacksburg, VA",74,Baylor University (TX),79
Miami University--Oxford,"Oxford, OH",105,Binghamton University--SUNY,79
University of California--Santa Cruz,"Santa Cruz, CA",79,Gonzaga University (WA),79
University of Delaware,"Newark, DE",79,Indiana University--Bloomington,79
Colorado School of Mines,"Golden, CO",82,University at Buffalo--SUNY,79
Michigan State University,"East Lansing, MI",82,Colorado School of Mines,84
Texas Christian University,"Fort Worth, TX",82,Elon University (NC),84
University of Iowa,"Iowa City, IA",82,Marquette University (WI),84
Binghamton University--SUNY,"Binghamton, NY",86,Michigan State University,84
Indiana University--Bloomington,"Bloomington, IN",86,North Carolina State U.--Raleigh,84
Marquette University,"Milwaukee, WI",86,University of California--Santa Cruz,84
University of Denver,"Denver, CO",86,University of Iowa,84
University of San Diego,"San Diego, CA",86,Clark University (MA),91
University of Tulsa,"Tulsa, OK",86,Miami University--Oxford (OH),91
Florida State University,"Tallahassee, FL",292,Stony Brook--SUNY,91
North Carolina State University--Raleigh,"Raleigh, NC",92,University of California--Riverside,91
University of Colorado--Boulder,"Boulder, CO",92,University of Delaware,91
University of Vermont,"Burlington, VT",92,University of San Diego,91
Drexel University,"Philadelphia, PA",96,Drexel University (PA),97
Saint Louis University,"St. Louis, MO",96,New Jersey Inst. of Technology,97
Stony Brook University--SUNY,"Stony Brook, NY",96,Saint Louis University,97
Auburn University,"Auburn, AL",99,Texas Christian University,97
Loyola University Chicago,"Chicago, IL",99,University of Denver,97
SUNY College of Environmental Science and Forestry,"Syracuse, NY",99,University of San Francisco,97
University at Buffalo--SUNY,"Buffalo, NY",99,Yeshiva University (NY),97
"Illinois Institute of Technology, American","Chicago, IL",103,Auburn University (AL),104
