Name,Location,Rank
Princeton University,"Princeton, NJ",1
Harvard University,"Cambridge, MA",2
University of Chicago,"Chicago, IL",3
Yale University,"New Haven, CT",3
Columbia University,"New York, NY",5
Stanford University,"Stanford, CA",5
Massachusetts Institute of Technology,"Cambridge, MA",7
Duke University,"Durham, NC",8
University of Pennsylvania,"Philadelphia, PA",8
Johns Hopkins University,"Baltimore, MD",10
Dartmouth College,"Hanover, NH",11
California Institute of Technology,"Pasadena, CA",12
Northwestern University,"Evanston, IL",12
Brown University,"Providence, RI",14
Cornell University,"Ithaca, NY",15
Rice University,"Houston, TX",15
University of Notre Dame,"Notre Dame, IN",15
Vanderbilt University,"Nashville, TN",15
Washington University in St. Louis,"St. Louis, MO",19
Emory University,"Atlanta, GA",20
Georgetown University,"Washington, DC",20
University of California--Berkeley,"Berkeley, CA",20
University of Southern California,"Los Angeles, CA",23
Carnegie Mellon University,"Pittsburgh, PA",24
University of California--Los Angeles,"Los Angeles, CA",24
University of Virginia,"Charlottesville, VA",24
Tufts University,"Medford, MA",27
University of Michigan--Ann Arbor,"Ann Arbor, MI",27
Wake Forest University,"Winston-Salem, NC",27
University of North Carolina--Chapel Hill,"Chapel Hill, NC",30
Boston College,"Chestnut Hill, MA",31
College of William & Mary,"Williamsburg, VA",32
University of Rochester,"Rochester, NY",32
Brandeis University,"Waltham, MA",34
Georgia Institute of Technology,"Atlanta, GA",34
New York University,"New York, NY",36
Case Western Reserve University,"Cleveland, OH",37
University of California--Santa Barbara,"Santa Barbara, CA",37
Boston University,"Boston, MA",39
Northeastern University,"Boston, MA",39
Rensselaer Polytechnic Institute,"Troy, NY",39
Tulane University,"New Orleans, LA",39
University of California--Irvine,"Irvine, CA",39
Lehigh University,"Bethlehem, PA",44
University of California--Davis,"Davis, CA",44
University of California--San Diego,"La Jolla, CA",44
University of Illinois--Urbana-Champaign,"Champaign, IL",44
University of Miami,"Coral Gables, FL",44
University of Wisconsin--Madison,"Madison, WI",44
Pepperdine University,"Malibu, CA",50
University of Florida,"Gainesville, FL",50
Villanova University,"Villanova, PA",50
Penn State University,"University Park, PA",50
Pennsylvania State University,"University Park, PA",50
The Ohio State University Columbus,"Columbus, OH",54
University of Washington Seattle,"Seattle, WA",54
George Washington University,"Washington, DC",56
Southern Methodist University,"Dallas, TX",56
University of Georgia,"Athens, GA",56
UT Austin,"Austin, TX",56
University of Texas--Austin,"Austin, TX",56
Fordham University,"New York, NY",60
Purdue University,"West Lafayette, IN",60
Syracuse University,"Syracuse, NY",60
University of Connecticut,"Storrs, CT",60
University of Maryland--College Park,"College Park, MD",60
Worcester Polytechnic Institute,"Worcester, MA",60
Clemson University,"Clemson, SC",66
Yeshiva University,"New York, NY",66
Brigham Young University--Provo,"Provo, UT",68
University of Pittsburgh,"Pittsburgh, PA",68
Rutgers University--New Brunswick,"Piscataway, NJ",70
Baylor University,"Waco, TX",71
Stevens Institute of Technology,"Hoboken, NJ",71
University of Minnesota,"Minneapolis, MN",71
American University,"Washington, DC",74
Clark University,"Worcester, MA",74
Texas A&M University,"College Station, TX",74
University of Massachusetts--Amherst,"Amherst, MA",74
Virginia Tech University,"Blacksburg, VA",74
Miami University--Oxford,"Oxford, OH",105
University of California--Santa Cruz,"Santa Cruz, CA",79
University of Delaware,"Newark, DE",79
Colorado School of Mines,"Golden, CO",82
