,Text
0,"
Hi,
I have been accepted to Carnegie Mellon MS business analytics program. 
I would InshaAllah be applying for F1. Does saying that my grandfather is going to sponser my education makes my case weak even if I prove the funds considering he is well off and can easily sponser my education. I can’t pay from my father’s account due to some personal reasons.
"
1,"
Salam everyone. I have been accepted for MS in Business Analytics program Fall 2023 in following universities: 
•University of Dallas, Irving Texas
•Mercer University, Georgia
With which university should I proceed further. Anyone from these universities?
"
2,"
Alhamdulilah! I 
got accepted to Fully Funded Masters 
Scholarship in Computer Science from 
Canada
 as well as 
America
.
HOW YOU CAN GET IT AS WELL?
1 line answer is: "" Good and Novel Research Work "" (Publication is not required).
A bit of 
detailed method
 (How I got the scholarship):
I have 
3.3 CGPA, and NO Publications
 but my research work is meaningful that I could write about it thoroughly in my Statement of Purpose.
Conduct good and meaningful research work in your home country (it means come with a problem and spend a few months or a year in solving that problem or problems in a good university or research lab under other professors, who can guide you).
Apply in Masters Thesis Programs only.
Write Statement of Purpose which should mainly focus on your research work and future prospects and reflects why this particular professor and university is the best match with your work (relate your work with prospective supervisor in the SOP, write his research paper titles and relate it with yours in 1-2 lines).
Get 3 Letters of Recommendations from your university (these letters should support and highlight your research work and what you have written in your SOP, it should not be generic at all (as most university professors give generic letters and they are useless).
Now, Choose universities you intend to apply based on your CGPA (like if you have just 3.0, then University of Toronto's scholarship doesn't make sense in your case) and follow these steps.
Visit Faculty profiles (related to your desired department of study), of let's say 20 different universities.
See the Google scholar and Personal Website of the Professors of that department you want to apply in. 
List down which 3 professors best matches with your research work and domain in those universities.
If there is no professor which matches with your research work, then do not apply in that university.
Write about his work and relate that to your work in your SOP.
Write him an email as well (after applying) that how his work was related and how you can assist him in his work and how his work fascinates you.
It would need you to read Abstracts of his recent research papers (to write, and relate such things in SOP)
Weightage to this method is 50% and 
rest of the 50%
 is Praying to Allah
Now Wait and be good to others. 
GREAT THINGS COME TO THOSE WHO BELIEVE IN THEMSELVES AND HELP OTHERS.
"
3,"
I have been accepted for a Ph.D. program at Texas Tech University. However, I am currently facing some issues with activating my eRaider account.
I am unsure of how to proceed with the activation process and would appreciate any guidance or assistance from individuals who are familiar with the process. If anyone has knowledge on how to activate an eRaider account, kindly share your insights in the comments section.
Your help would be greatly appreciated, as activating my 
eRaider account is crucial to accessing essential resources such as the university's online library, email services, and Blackboard.
"
4,"
I got accepted in Mississippi State University with 100% scholarship ( $25000 per year ). ( family contribution : $18000 )
- no relative abroad 
- Father owns a software and IT company ( in Pakistan and Dubai ) that I will join after my graduation. ( also matches my major )
-about $200,000 assets and pkr 900,000 monthly salary of father .
-Very High grades and test scores 
-Went to Dubai for a trip 2 years ago
-above average english
I wanted to know what are the chances of my visa approval .
Thanks in advance
"
5,"
My F-1 visa got accepted today at Islamabad consulate, Alhamdulillah. VO just asked me the reason for going to USA and what would I do with my PhD degree in future.
However, my husband's (F-2) visa got into administrative processing due to his field in TAL and his current job. He clearly explained to the VO that he wouldn't be working in the states as he is not allowed to do so. VO returned his passport with 221g and said that there's nothing to be worried about, he just needs 
to upload his resume and publications list.
Has anyone faced a similar situation? If yes, how much time did it take for F-2 processing if F-1 was already approved?
"
6,"
I recently accepted for fully funded PhD position.
On 17 April, I will receive my I20 form. The joining date to university is 1st June 2023.
Is it recommended to ask a supervisor to contact the US embassy to support my study visa application? So that application process will be faster.
Kindly guide me. Your help will be appreciated. 
Regards
"
7,"
Visa Experience:
Date: 6th July 
Time: 9.45 am
Karachi Consulate
Status: Approved
Me: Hello. Goodmorning.
VO: Goodmorning. 
VO: Why do you wanna go to USF? 
Me: Compared to the other universities that I got accepted in, USF has got the best CS program out of them.. (interrupted) 
VO: What is CS? 
Me: Computer Science
VO: Why do you wanna pursue Computer Science? 
Me: Since a young age, I’ve been fascinated by computers and growing up I got inspired by people like Bill Gates and Elon Musk. I want to replicate what they have achieved so far, here in Pakistan. 
VO: Have you been to the US before?
Me: Yes. I went to US in 2009 to visit my dad who was studying at Columbia University at the time. 
VO: Oh okay. But why do you wanna go to USF? 
Me: I got a good scholarship from USF. 
VO: How much is the scholarship? 
Me: It’s 12,000 USD.
VO: But you had other options as well, then why USF?
Me: Most of the other universities that I got accepted at were liberal art colleges, whereas I wanted to go to a bigger university… (interrupted)
VO: I’m not interested in other universities. Tell me why you wanna go to USF? 
Me: I had the option of either going to USF or.. (interrupted) 
VO: I don’t wanna hear about other universities. Tell me why USF? 
Me: (I got stuck and confused for a few seconds)
Me: It’s ranked in the top 250 universities globally and has a good faculty for my program. 
VO: But there are other top 249 universities in the world too, why did you choose USF then? 
Me: According to my SAT score, USF suited me the most. 
VO: Your visa is approved. You can collect your passport in 3-5 days.
Me: Thank you. 
VO: You’re welcome.
"
8,"
Hi, I recently got accepted at a school in chicago for a psychology program(Masters) 
I had a couple questions, if anyone of you can help me out a little.
1- My current school is around 13k per semester; however i dont want to start studying here. Im just planning to use their i20 to get visa. Since they have a low acceptance rate, im assuming it’ll be helpful in getting the visa through them. 
Is 
it possible that i transfer to a community college before even starting my semester at my original school? 
(If yes, are there any you guys can suggest?)
2- Should i apply to these community colleges from pakistan( right now) or when i come ? (Given that i do get my visa approved) 
3- Can you give me a step to step guide as to how i will be able to transfer right away ? If anyone has been through the process, id love to hear your experience. 
(The community colleges i checked have a deadline of august 15th for fall 2023) 
4- Can i work off campus on my very first month of coming to the states or am i only allowed to work on campus( given that i will not have a SSN initially) 
Any other piece of advice you can give me, id love to hear it. Please help a sis out 
 
Thanks!
"
9,"
Hi everyone.
Just wanted to get some info.
I have been accepted from the following universities:
1- University of Iowa (MS Data Science)
2- 
Michigan State University (MS Data Science)
3- Wayne State University (MS Data Science & Business Analytics)
4- San Francisco State University (MS Data Science & Artificial Intelligence)
It is a cliched question, but which university should I go for, keeping factors such as living cost, tuition, job opportunities, etc. Unfortunately, haven't got any financial/graduate assistantship yet. Will it be a wise option to raise student loan from mpower/prodigy finance?
"
