,0
0,"
Visa Status: refused 221(g)
Uni: San Francisco state university 
Program: Masters in civil engineering
Date: 23rd May 2022
Visa 
Type: F1
VO: Good Morning
Me: Good Morning
VO: Pass me your documents
(I was confused a little)
Me: passed 
VO: Put your left hand 4 finger on the scanner
Me: Put fingers of right instead of left.(visa officer corrected me).
VO:  why USA?
Me: ….. (interrupted me in middle)
VO: why this university ?
Me: since I have bachelors in civil engineering…….. (interrupted)
VO: who is going to pay for you?
Me: my father is going to be my sponsor
VO: what does he do?
Me: ….. stated (but I was a lot confused and I felt I am lacking in conveying my words)
VO: how many siblings do you have?
F2: 6 I stated with a lot confusion about what they do.
VO: handed over white paper, i am putting your visa state on administrative process. You will get an email ……….
Me : thank you
"
1,"
Admin please approve and suggest me should i go for 
#2ndattempt
Interview: Islamabad embassy 
Status: 
#visarefused
Date : 8th December 
Me : 
Good morning 
Vo: no response young Korean type lady 
Vo: pass me your pasport and i20
Me: sure
Vo: which university are you going for 
Me: iam going to university of central Oklahoma 
Vo: who is ur sponsor 
Me: my father 
Vo:What is he doing
Me: he is running a pharmaceutical Bussiness in which he owns three pharmacy with annual income of more than one crore sir
Vo: i am not sir i am mam 
Me: sorry mam 
Vo: last question I didn’t understand stand what she say 
Vo: soory rules are very strict iam not going to give u a visa 
Now what i can do and where i make a mistake?? Should i appear second time 
Or change any thing in my Ds160
8HYDFKM.com
Aseem
Admin please approve and suggest me should i go for #2ndattempt

Interview: Islamabad embassy 
Status: #visarefused
Date : 8th December 
Me : Good morning 
Vo: no response young Korean type lady 
Vo: pass me your pasport and i20
Me: sure
Vo: which university are you going for 
Me: iam going to university of central Oklahoma 
Vo: who is ur sponsor 
Me: my father 
Vo:What is he doing
Me: he is running a pharmaceutical Bussiness in which he owns three pharmacy with annual income of more than one crore sir
Vo: i am not sir i am mam 
Me: sorry mam 
Vo: last question I didn’t understand stand what she say 
Vo: soory rules are very strict iam not going to give u a visa 

Now what i can do and where i make a mistake?? Should i appear second time 
Or change any thing in my Ds160
"
2,"
My J2 spouse visa refused becoz they said u not have strong ties to comeback home. What should I do for it to get approval has anyone faced it.  my husband is already in US on J1 visa please guide
"
3,"
#Status
: Visa 
#Approved
! 
Interview: 16th June 2022
Interviewer: A lady
PhD Civil Engineering, University of Kansas.
Morning Mam,
VO: 
Morning
Questions:
What's University name in US? 
KU
What's your Major? 
Civil Engineering
Why were you in China? 
Study
Was that on scholarship? 
Yes
Had a same major in China?
Yes
Which University in China? 
Told
What's your proposed research in US? 
Told
So you have an assistantship, who's is your supervisor? 
I told her the name of my supervisor, she searched the internet and she asked me to spell it because she couldn't find it.  Then I passed her the CV of my supervisor and when she saw his profile, she searched on the internet again.  After typing a few seconds, she told me that, ""I'm approving your visa."" Congratulations.
#Tips
: Be confident and answer to the point, no need to explain. 
#Experience
: If you are having travel history and an assistantship then the interview is just a formality.
#Feeling
: I was feeling excited but once the shuttle bus driver and some other workers saw the ""approval slip"" in my hand they asked for ""Methai"".  I ignored them once but they kept asking for methai which was very annoying.  They have no ethics.  I spent 4 years in China and this was my second day in Pakistan after 4 years.  I saw many beggars on Islamabad road's and even in the embassy office today.
"
4,"
Hello everyone, Need suggestions.
My f1 visa got refused on 11th of August 2021.
Now i am thinking to retry for the same session of Masters in CS at Maharishi International University, as my classes will start from 23rd of Oct 2021.
Should i retry in the same session through karachi or wait for the next one in Feb? because my profile is still same as i am managing the expenses myself being a software engineer.
"
5,"
US J1 and J2 visa approved. ( long post)
Date: 27th Feb 2023. 
I went with my husband and two year old baby. Our interview was scheduled for 8:00 PM at Islamabad Embassy. We were there on time. 
After scanning fingerprints and other formalities we were sent to a counter that had a fat young American lady sitting with a polite expression on her face. The lady looked extremely professional.
Me: Good Morning
VO: 
good morning, pls pass me your documents.
Ok so I understand you are going for study.
Me: yes I am going for Exchange visitor research based trip to Uni of Michigan Ann Arbor. Its a six month scholarship fully funded by HEC and after completing it I'll be back and complete my PhD here. At Uni of Michigan I plan to have intensive research under the supervision of the my foreign supervisor who is also the chair of dpt of English language and literature Uni of Michigan
( all this time she was typing and looking on the screen but looked satisfied with my answer)
VO: ok so what is your research about?
Me: I am doing my PhD with majors in English Literature and subfield is Cultural memory and trauma studies with focus on politics of history in conflict zones. 
VO: wow interesting! Pls tell me more about Cultural memory studies, its new to me( she was smiling)
Me: Here I spoke for one minute on my research topic and the terms she was imtersted to know about.
VO: so what material you use for your research?
Me: well in arts and humanities we conduct corpus based research by which i mean we pick Anglophonic writings so I am working on indigenous writing from the Conflict zone of Kashmir. (She looked impressed)
VO: ok, I understand its a fully funded trip?
Me: Yes I bagged HEC IRSIP scholarship which is fully funded. 
VO: oh HEC the one which has headoffice here in Islamabad?
Me: I smiled, yes you got it right VO.
VO: are you both cousins?
Me: No.. just distant relatives.
VO: to my husband...ok I understand you have a brother in US who is US citizen.
( we mentioned this in our DS19)
Husband: yes certainly, my brother is living in New Jersy and doing a job there but I understand we are going to Michigan-a different state.
Vo: what's your profession.
Husband: I am banker by profession( he explained in little detail)
VO: do you guys have plans of settling in the US?
We both replied No at once. I added that we are satisfied with our jobs here so no plans.
VO: For how many years are you both married?
Me: told the exact time period and year. 
Vo: pls pass me your FRC.
Me: passed the the family and baby related documents. 
VO smiled and gave us a page that had rules of staying in the US. Took my DS and excused us for a while. After one minute she was back . 
Now my baby starting crying so she waved him Hi with a big smile. 
She got up from her chair, signed the DS and handed us over the blue slip with a nice smile. She added that we need to show this DS at immigration. 
We both smiled and thanked her and left the counter. 
Lessons:
When VO asks something speak out the details. Practice and research your answers. Stand straight and upright and constantly maintain eyecontact with VO. They read your facial expressions. So when you say No mean it and when you say Yes mean it. Prepare and practice. They make decision by having a thorough understanding of you. Have all your documents. Basically you need to impress them so that they show interest in you and grant you on the spot visa.
Good luck to all.
"
6,"
So I got my Visa accepted today and here is my experience
I had a 10am appointment but it exceeded till 11. Khair there were so many rejections that i saw in front of me while i was standing in the que. I got admission in Mercer University in Atlanta
Interviewer: What course are you going for?
Me: Masters in Buisness Analytics
Interviewer: Are you currently doing any job?
Me: 
No sir i have just been graduated in September
Interviewer: Who is going to pay for studies?
Me: My father
Interviewer: What is his profession?
Me: He is in a Mangerial position in a reputable Hospital in Karachi (Bank statement given along with bank Maintenance)
Interviewer: Which hospital?
Me: *answered*
Interviewer: Is any of your brother or sister in US?
Me: No sir
Interviewer: What are your plans after this degree?
Me: With a foreign degree and a couple of years experience i want to come back to my country and appoint as buisness Analyst in a Multinational Company
Interview: Your visa is approved
Me: Thankyou
"
7,"
Date: 14th October 
Status: Approved (2nd Attempt) 
Embassy: Islamabad 
In my first attempt, they didn’t ask me many questions and while being financially strong with all good answers, my visa was refused. I have also mentioned my experience in a previous post. I applied again a week after my first attempt. 
VO: 
Good morning 
Me: Good morning officer, I have to say something about my
Previous experience. 
VO: yeah sure go ahead 
While being a genuine student with good financials and strong travel history my visa was refused.
(Gave him all the details of my facts; Father’s business and my future prospects) 
He stopped me there after listening to me for a good minute or so. 
VO: ahan… okay so why USA?
Me: it is a land of excellence with alot of opportunities. It has new technologies and practical based studies through it’s advanced curriculum. 
VO: What does your father do? 
Me: Mentioned again here about his media production house business. 
VO: How many employees? 
ME: 2 dozen 
VO: where are you working now?
Me: I’m working at ____ as an electrical engineer.
VO: ahan.. what do you do there?
Me: Mentioned about my duties 
VO: hmm okay (asked for my old passport) 
VO: checked the details and started typing 
While he was typing I also kind of told him he looked good in Shalwar Kameez 
 
VO: okay… so you’re visa is approved! Good luck! 
I believe if you have a good profile and strong financials, one should definitely go for a second attempt right after the refusal. I was not sure at first as I heard many people saying that I should have a semester’s gap between the next interview date but I knew I had a strong profile and I was just unlucky.
Alhamdullilah things went great and my visa got approved in second attempt!
"
8,"
Second attempt!
Status : refused.
Reason : 214B
Vo: 
tell me about yourself.
Me : told.
Vo: why westcliff uni.
Vo: why not other uni.
Vo: who is your sponsor.
Then started typing later, you applied in last month also?
Me : yes, with my family but got refused under 214b so thats why this time i am applying alone.
Vo: again started typing and then said sorry again under same section i am refusing you.
Me: please tell me the reason apart from 214b so that i will not repeat the same mistake.
Vo : sorry i can not say anything, IDK.
I have good travelling history, had been in usa too and many other countries, finance, strong home ties but dont know what is the issue.
"
9,"
Embassy Islamabad
Visa approved
2nd Attempt
Date: 22-12-21
Applied by myself
Applied with same profile.
Profile
Fsc 85%
Matric 87%
IELTS 6.5
University
Southwest Minnesota state university
Course
Bachelor of Agriculture 
Interview
Me: Good morning mam. How are you?
Vo : I am great 
Vo: have you applied visa before?
Me: Yes I was rejected on 10 December.
Vo: why you was rejected?
Me: I don't know the exact reason behind rejection. But I think I was a little bit nervous and I couldn't explain my self. But now I am very confident and ready to explain myself.
Vo: let me see your profile
Me: ok
Vo: after 10-20 seconds. So there will be huge expense for getting education from USA. How you will pay??
Me: my father will bear all expenses for my education in USA. He has a large business. 
Vo: what he do?
Me: told.
Vo: How many employees he have?
Me: told
Vo: To How many universities you have applied?
Me: I applied to only this university.
Vo: why you have chosen this university?
Me: this university is providing me more practical and technical knowledge than theoretical. Some of their courses such GIS mapping and precision agriculture caught my attraction. Secondly this university has many clubs for the students of Agriculture Sciences like AG house is a well known club of this university. The 96% faculty of this university is highly qualified in their respective fields. And this university is providing me all these facilities at a very affordable tuition fees
Vo: what will you do after graduation?? Either join a consultancy firm or start own business?
Me: after completing graduation from USA I will come back to Pakistan and here I will establish my own agriculture farm. Where I will implement all those techniques and practices which I will learn from USA. Also I will join the agriculture department of Pakistan to spread awareness about modern agriculture.
Vo: from where you will get money to establish Agriculture farm?
Me: my father have 52 Acers of Agricultural land. And these are enough for establishing an agriculture farm.
Vo:Why you have chosen this field?
Me: being from an agricultural country, I have developed a great interest in Agriculture and this interest pushed me to get higher education from USA. Modern agriculture is the Need of Pakistan and unfortunately I can't see any improvement in this field due to traditional methods. And I want to revolutionise the Agriculture department of Pakistan.
Vo: ok. Congratulations your visa is approved. I am sure that education from USA will be very helpful for your career.
Me: Sure mam. Thanks.
1st attempt
Date : 10-12-21
University
Southwest Minnesota state university
Course:
Bachelor of applied science-Agriculture 
Fsc 85%
Matric 87%
IELTS 6.5
Visa rejected
Islamabad embassy
Vo what is your purpose to go USA?
Me: I am going to pursue my bachelor of applied Science in Agriculture.
VO: how you will pay your expenses?
Me: my father will bear all me expenses during my stay in US.
Vo what does he do?
Told
Vo how many siblings do you have and what they are doing?
Told
Vo Sorry you didn't qualify.
Me. Ok sir.
Just try to be confident and consized. As per my experience, confidence level matters 80 % in interview and rest 20% is for your profile and credentials. In my first attempt, I was too much nervous and couldn't explain even a single sentence. But in 2nd attempt I was very confident. I was speaking loudly and with proper eye contact with visa officer.
Thanks to 
Rana Ibrar
 , 
Syeda Yuman Zehra Zaidi
  for motivating me. Abrar  Bhai ki motivation mery liye game changer thi. 
Special thanks to this Facebook group. 2 month pehlay mujhe USA visa ki abc ka bhi nhi pta tha lekin is group sa itni zyada help or information mili k mera visa approve hua Kisi bhi consultant ki help k bghair.
"
