,Text
0,"
VISA APPROVED! 
Wanted to share my case because I think not many acceptances are shared here. I feel like i had this unnecessary anxiety before the interview probably after reading rejections here mostly. I witnessed same number of rejections and approvals today
Location: US Consulate General Karachi
Date: May, 15
Program: Industrial Engineering
University: University of Houston
First attempt.
A clean shaved American male in his late 40s.
Good morning officer.
No reply.
VO: pass me your documents
I passed.
VO: What is your purpose?
To pursue my Masters in Industrial Engineering from University of Houston.
Any family member living there?
No one.
What was your major in bachelors?
Chemical Engineering
Mechanical?
No, Visa officer its chemical. 
But…why go from chemical to industrial?
Told how that is going to help me. 
I don’t understand. What are your plans?
Told him again but this time i was more specific.
What did you do in these 2 years after graduating?
Worked as an Engineer at xyz for a year. Then worked as a financial consultant at xyz for 6 months. Took break to prepare for GRE and universities application and stuff.
Why did you switch from engineering to finance?
Told him again about my plans and how Masters is going to assist me.
What is Industrial Engineering?
Told. 
Oh so it is a mixture of engineering and business studies.
Yes, you can say that Visa Officer.
Who is sponsoring you? Pass me your bank statment.
Passed. I am self sponsoring myself along with the support of my father.
What does your father do?
We have a family business of Commercial Agricultural farming. He is also a Real Estate Investor. My inherited land is also used and the generated income is hoing to fund my stay in the US.
How many acres of land do you have on your name?
Told. 
So you get rent from it?
Kind of. 
Types for 2-3 minutes.
Do you want to see my tax slips and property documents?
Not needed.
Keeps on typing for another 2-3 minutes.
Which college in UH are you going to attend?
Cullen college of Engineering.
So what are you going to do after your Masters?
I will comeback to Pakistan to work as xyz.
At what kind of industry?
Chemical Industry probably because that is where i have experience.
Okayyy so….you can have your documents back. Passes me my bank statement and I-20. You’ll have your passport back in a week. I am approving your visa.
Thank you sir, have a great day.
This is all what i can recall. Apologies if i missed any questions.
Interview lasted for 10-12 minutes.
TIP: Be confident and fluent! Thats it. My interview was more like a pressure test. Officer, throughout the interview, had this uninterested/disapproval face. Also, try applying yourself instead of going to a consultant.
"
1,"
Visa Approved 
28 March Islamabad embassy 
Counter number 16
Vo old American lady.
Vo: Hello how are you doing 
Me 
I'm doing great.
Vo: so where are you going?
Me: University of washington seattle 
Vo: Why this university?
Me: I was looking for universities which transportation curriculum includes smart cities planning and ITS and university of Washington transportation program is mainly focused on smart cities they have lot of research going on related smart cities transportation planning and many of their transportation faculty members have field experience of smart cities planning. 
•  Its transportation program is ranked top 4 in the states and in top 10 around the world.
VO: what dose your father do 
Me: He is head in XYZ company he also has a xyz business alongside my uncle and is also a landlord 
Vo: Any travel history?
Me: yes recently went to dubai for new year 
Vo: Has someone from your family studied from US?
Me: yes Two of my uncle's  i told them the University's from were they studied 
Vo: you seem quite young 
Me: yes i recently did my bachelors in 2022
Vo: what were you doing after your bachelors 
Me: i was preparing for GRE 
Vo: What is your Gre score 
Me: i told her my score 
Vo: ok you sit for a while my colleague will ask few more questions 
After 20 min my name was announced and was called of to counter number 29 which is a Room basically. I went to a room Vo told me to sit he was a Pakistani guy.
Vo: in urdu what dose your father do 
Me: told him
Vo: can you please give us the bank statement and your academic document 
Me: I passed the bank statement and property evaluation form and my degree and transcript.
Vo: ok wait for a while outside the room.
After 40 min my name was announced and told to come back to counter number 16. As i went there.
VO American lady: congratulations you have been granted a F1 Visa. Handed me the blue slip and my documents.
"
2,"
Status: Visa Approved in first attempt, Alhumdulilah!
Date: 26th May, 2023
Time: 8:00AM
Embassy: Islamabad
The Visa officer was an American lady in her 40s i think.
Me: 
Good morning officer.
VO: Good morning
VO: Pass me your documents.
Me: Yeah sure.
VO: Where are you going?
Me: I am going to the Purdue for my Masters in Civil Engineering.
(While she was typing) I told her that I have done my bachelors in civil engineering from xyz university and after that I have been working in the construction industry for the past three years. I have experience letter, do you need those. She said not required.
VO: What is your current role and your responsibilities in your current job?
Me:  I am working as a Junior Project Manager in XYZ company and told her my responsibilities.
While she was typing I told her that I am in contact with my academic advisor who will give me an assistantship position in the 2nd semester. Do you want see mine and his resume. She says no need.
VO: How will this course help you in future?
Me: ( Here she stopped typing and looked at me in the eyes) 
As my father ,who is also a civil engineer and a government officer, will retire around 2030. So before that I plan to establish a construction company and when he retires work under his supervision. Also he always inspired me to start my own company rather than doing job.
VO: How many siblings do you have?
Me: Told
VO: Why did you go to UAE?
Me: I went there to visit my aunt along with my mother.
VO: Ok I am approving your visa?
Me: Thankyou. 
Thats it. I was a little surprised as She did not asked me of any documents. And no question regarding sponsor although I was fully prepared.
Before she refused 3 students so I was a little anxious but Alhamdulillah got the visa.
I tried to lead the conservation as she was typing all the time and I tried to give her answers she needed to fill in her computer. It was a short interview for me.
Overall today many students were getting visa from both the officers.
"
3,"
1st Attempt: Approved Alhumdulillah.
Interview was at 25th May Karachi Consulate.
Profile: BS from LUMS, going for MS Finance at University of Houston. Had Received out-of-station tuition waiver and additional scholarship as well. Have been working at Multinational bank for almost two years now.
VO: 
Pass me your passport and F1.
VO:  Why university of Houston?
ME: Firstly, the courses which they are offering, related to derivates trading and hedging and this is where my professional experience lies, as I have been working in the banking industry for over 2 years now, and I feel this degree would help me fill in the gaps in my skill set.
Also, one of my university professors had recommended this course and degree, as he had also completed his master’s from there.
Also, I have been following Professor XYZ, throughout my undergraduate phase, and read his publications on hedging techniques, so I thought it would be quite an experience to take live lectures from him.
VO: interesting!
VO: What is your job ?
ME: Told him about the general job description, routine tasks etc.
VO: Plans after graduation.
ME: Obviously, the plan is to complete my master’s with good GPA. And then to focus on my banking career, as employers in the Pakistani banking sectors tend to value those profiles and individuals who have done their education specifically from US Colleges. In fact, my current supervisor had done his Master’s from abroad, and at a very young age he is doing quite well. I have a similar objective, I believe this degree would help me to excel in the Pakistan banking sector, also that I have made good repo with my supervisor, he would be willing to hire me at a senior position, once I complete my master’s.
VO: Who is your sponsor?
ME:  it is my father.
VO: What is his profession?
ME: He is a banker as well, and currently working in one of the banks in UAE.
VO: Pass me the statement.
I handed over the statement to him.
VO: Your credentials are good, I am approving your visa. You will get your passport in a week.
For all the aspirants out here, the only thing matters is your level of confidence and communication skills. Regardless of the circumstances, and whatever is the outcome, just give your 100% and maintain eye-contact.
"
4,"
*F1 Visa approved*
I had a fully funded PhD position in humanities.
Appointment date: 12 June, 2023
Islamabad consulate 
Time: 9 AM but interview took place around 12
VO: 
Hello, how are you? 
Me: Good morning officer. I am good. How are you? 
VO: Pass me your documents please.
Me: handed them over 
VO: Where are you going for your PhD? 
Me: Told 
VO: Why do you want to go to Idaho State University? 
Me: Told her my personal process of discovering the university and professors and what stands out to me about the place that correlates with my research. 
VO: What is your research going to be about? 
Me: I told her I will try to simplify it as much as I can and explained it. She nodded and even smiled wherever she understood things. 
VO: What are your future plans? 
Me: Told her about study leave and my plans to apply my research in Pakistan. She again smiled on this answer. 
IT was a very engaging experience. Try to be yourself and as natural as possible. I went as my usual self and talked to her as I would talk to peers at my workplace. Your profile is what it is you just need to confidently carry yourself at this point and you will be good to go. Good luck everyone!
"
5,"
VISA APPROVED! 
Location: US Consulate General Islamabad 
Date: May, 18
Program: Bechlor of Nursing 
University: Central Michigan university 
First attempt.
A Young American lady in her 30s I guess
Today's approval rate was very low as I witnessed because there were 6 students/tourists I was at the end all of them were rejected (screwed up seeing rejections my nervous system collapse but I was confident I gave reply in very precise way not too long neither short. 
Good morning mam.
VO: Good Morning 
VO: pass me your documents
I passed.
VO: Which university are you going and why?
I am going to Central Michigan University To pursue my Bechlor in Nursing. I have talked with many students studying in CMU through LinkedIn their reviews about university were amazing secondly I got 50% of scholarship.
Any family member living there?
No 
Who is sponsoring you? 
My mother will sponsor me.  She owns 22 acres of land where we grow 3 crops yearly and we made xyz. 
VO:. What's you future plans?
Me: I will definitely get master degree from USA as well then I'll come back to Pakistan here my uncle owns hospital so i want to settle here.
She asked the hospital name and city I told her (constantly typing and seeing the computer screen)
VO: how many siblings do you have?
Told
She asked for my bank statement I gave her she read carefully then asked how much is this money in dollars I told its 52k dollars.
Types for 2-3 minutes.
You can have your documents back. Passes me my bank statement. You’ll have your passport back in a week. I am approving your visa.
Thank you mam, have a great day.
She smiled
Interview lasted for 6-7 minutes.
TIP: Be confident this is the only thing which matters.
"
6,"
F1 visa approved Alhamdulilah
19 May Islamabad 
Time 10.00 am 
VO was a pretty young lady. 
She 
greeted me properly and said good morning first. Even she asked me how are you doing. 
She asked why this university, and I directly said because I got fully funded scholarship from this university. 
 what kind of scholarship you got? Either it is teaching assistantship or reserach assistantship. I told 
Then she asked me about past work experience and I told about my visiting lecturer university job. 
Then she asked, what will you do after completing this degree from USA. I told that I am intended to join academia. (Some sentences modification) Pardon 
She gave me a blue slip sayıng congratulations your visa is approved. You can collect your passport from the selected location after a week or within a week. I don't remember exactly. 
Posting this so that people can get some better thoughts and motivation. Because only limited success stories are posted here and I was so stressed after reading rejection stories. 
May Allah bless and guide us in His righteous path. 
Good luck
"
7,"
Karachi consulate,
MS in CS
08:45 am
1st attempt 
*Approved*
We 
great eachother.
Passed the documents.
VO:Which course are you going to study in the US?
Me: MS in CS.
VO: what are you going to study in MS?
ME: well i am  interested in Machine learning as i wanted to teach that course back here in Pakistan.
VO: so are you going to do Phd as well?
ME: currently, I don't have such plans.
VO: what is machine Learning?
Me: approach to train computer to behave like humans.
VO: what?
Me: To draw algorithms to train computer model for human like behaviour.
VO: so you're going for Machine learning only?
Me: (I got confused and said yes)
VO: she was like, means you're only going for ML course?
Me: No, I am going to stay 2 years in Us, it is a complete master's degree program and i will take other courses too.
VO: what other courses are going to study in TU?
Me: cyber security, algorithms, bioinformatics, computer architecture.
VO: how many total universities in you apply?
Me: 9 unis and she asked names and stoped me on 5th name and said alright.
VO: how you come to know about these unis?
Me: well, i came to know abt these unis via USNEWS and college fair.
VO: So you come to know about TU uni in educational expo here in Pakistan, so you met with TU representative?
Me: No, i found TU via USNEWS.
VO: who is sponsoring you?
Me: I have a scholarship plus i have taken student loan.
VO: show me loan documents?
Me: shared. And she asked few questions on loan.
VO: what your parents do?
Me: My father passed away in 2010 and my mom is home maker.
VO : brothers and sisters?
Me: one of my brother is a government employee and other working in private sector and my sisters are all married.
After that she handed me blue slip and said your visa is approved.
My personal experience: only confidence matters.
"
8,"
*Visa status- approved and issued* 
Date: 9 June, 2023- ISB
Program: PhD Physics (fully funded)
Oklahoma State University
 *2nd Attempt* 
Appointment time: 8 am
Reached: 7:10 am
Interviewed at : 11:40 am
Interview was 8-9mins long.
 *Questions* 
Me: Hi, good morning VO
VO: Hello, where are you going in USA?
Me: I am going to Oklahoma State University for my doctoral studies in Physics with 100% tuition fee waiver and a good amount of stipend.
VO: How you got to know about this University?
Me: told about my research interests, my overlap of research with my possible advisor, research meetings and progress,.... After this answer VO was really satisfied 
VO: So what is your research?
Me: told about research, it's importance and applications.. I also added some lines about my lab ongoing research and told about my advisor.
VO: So are you done with your masters right?
Me: No, I have completed me bachelor's in Physics last year and now going for a direct PhD which will be of five years.
VO: Do you have some relatives in US?
Me: No
VO: Are you married?
Me: No
VO: Someone else is going with you?
At this point I thought my visa will be approved this time.
Me: No, only i am going
VO: please show me your admission letter, GTA offer, CV, BS degree and transcript.
He checked everything in detail.
VO Started typing in his computer and then passed all the documents to me, kept my passport with himself and told me I am approving your visa and will keep your passport, have a good day.
Me: I didn't listen anything after visa approval and while putting back my documents in the folder I realised something is missing and asked for my passport
VO: Ohh really, you don't want to get printed the visa on your passport (in a smiley face)
Me: No no keep it please, thank you, thank you
 *Note* I haven't changed anything in my profile since I was already on a fully funded position.
"
9,"
Date: 23rd of may
Location: Ankara 
Status: Alhamdulilah Approved 
Interview:
Note: I had a prior refusal 6 months ago, it was my second time.
Officer: Why do you wanna go to USA?
Me: Well officer I want to go to pursue my bachelors degree in business administration, I applied for two universities and got accepted from both of them plus received scholarship. But the reason I chooses this degree, my uncle graduated from the same degree from uk now he is working in United Nations as regional administrator. I basically want to follow his career path.
Officer: ok who is sponsoring you?
Well first I received a scholarship from the university and my parents are doctors we have private clinic and private pharmacy additionally we have XYZ amount of property. Beside if necessary my uncle is also sponsoring me so I have a very stable financial situation.
Officer: do you have any relatives in us.
Me: no 
Officer: you sure any cousin?
Me: yeah I have but I lost contact with them many years ago.
Officer: OK
Why your family don’t wanna go to the USA.
Me: cause they have property and business.
Silent for a minute:
I want to start again:
Me: actually,………
Officer: smiled. Wait calm down. It’s enough.
Congratulations your visa is approved.
Note: Alhamdulilah my visa was approved.
Trust Allah and recite لا یستوی Ayat before interview and inshallah you will get your visa.
Always  trust Allah. 
If you guys have any questions. I’m gladly here to help.
"
