,Text
0,"
Alhamdulilah! I 
got accepted to Fully Funded Masters 
Scholarship in Computer Science from 
Canada
 as well as 
America
.
HOW YOU CAN GET IT AS WELL?
1 line answer is: "" Good and Novel Research Work "" (Publication is not required).
A bit of 
detailed method
 (How I got the scholarship):
I have 
3.3 CGPA, and NO Publications
 but my research work is meaningful that I could write about it thoroughly in my Statement of Purpose.
Conduct good and meaningful research work in your home country (it means come with a problem and spend a few months or a year in solving that problem or problems in a good university or research lab under other professors, who can guide you).
Apply in Masters Thesis Programs only.
Write Statement of Purpose which should mainly focus on your research work and future prospects and reflects why this particular professor and university is the best match with your work (relate your work with prospective supervisor in the SOP, write his research paper titles and relate it with yours in 1-2 lines).
Get 3 Letters of Recommendations from your university (these letters should support and highlight your research work and what you have written in your SOP, it should not be generic at all (as most university professors give generic letters and they are useless).
Now, Choose universities you intend to apply based on your CGPA (like if you have just 3.0, then University of Toronto's scholarship doesn't make sense in your case) and follow these steps.
Visit Faculty profiles (related to your desired department of study), of let's say 20 different universities.
See the Google scholar and Personal Website of the Professors of that department you want to apply in. 
List down which 3 professors best matches with your research work and domain in those universities.
If there is no professor which matches with your research work, then do not apply in that university.
Write about his work and relate that to your work in your SOP.
Write him an email as well (after applying) that how his work was related and how you can assist him in his work and how his work fascinates you.
It would need you to read Abstracts of his recent research papers (to write, and relate such things in SOP)
Weightage to this method is 50% and 
rest of the 50%
 is Praying to Allah
Now Wait and be good to others. 
GREAT THINGS COME TO THOSE WHO BELIEVE IN THEMSELVES AND HELP OTHERS.
"
1,"
I got accepted in Mississippi State University with 100% scholarship ( $25000 per year ). ( family contribution : $18000 )
- no relative abroad 
- Father owns a software and IT company ( in Pakistan and Dubai ) that I will join after my graduation. ( also matches my major )
-about $200,000 assets and pkr 900,000 monthly salary of father .
-Very High grades and test scores 
-Went to Dubai for a trip 2 years ago
-above average english
I wanted to know what are the chances of my visa approval .
Thanks in advance
"
2,"
Update: 
My F1 visa got accepted today. The VO didn’t ask me for any documents or bank statements. 
Hey!
my appointment is on 6th September and this will be 2nd interview at Islamabad embassy (got a refusal in July). The situation was different in my first attempt as I only had a scholarship of 25% and the rest of the amount was a loan from prodigy. 
Now 
in my second attempt I have almost 60% scholarship from the university and instead of loan from prodigy, my uncles are my sponsors (my mamu and khaalu) and my I20 only mentions a 12000$ family funding. 
I was refused under 214 (b) and the VO also showed a concern about my loan repayment. 
What do you think are the chances that I can secure an F1 visa in my second attempt with all the changes in my interview? 
P.S. I already have a valid B1/B2 visa which will expire in 2027.
Thank you
"
3,"
I recently accepted for fully funded PhD position.
On 17 April, I will receive my I20 form. The joining date to university is 1st June 2023.
Is it recommended to ask a supervisor to contact the US embassy to support my study visa application? So that application process will be faster.
Kindly guide me. Your help will be appreciated. 
Regards
"
4,"
My F-1 visa got accepted today at Islamabad consulate, Alhamdulillah. VO just asked me the reason for going to USA and what would I do with my PhD degree in future.
However, my husband's (F-2) visa got into administrative processing due to his field in TAL and his current job. He clearly explained to the VO that he wouldn't be working in the states as he is not allowed to do so. VO returned his passport with 221g and said that there's nothing to be worried about, he just needs 
to upload his resume and publications list.
Has anyone faced a similar situation? If yes, how much time did it take for F-2 processing if F-1 was already approved?
"
5,"
I have a question? 
I have been accepted to one community college and 2 universities.
I have a study gap of almost 6 years but all of it is justified. 
One 
of the universities did ask and asked for my resume as I was working for the past 6 years.
I have my interview in the last of october. 
Any tips?
"
6,"
الحمداللہ
Just got my visa Approved. Here's my interview experience.
Embassy: ISLAMABAD
Here's my interview experience:
Interviewer: Good morning, please hand me your passport and DS-160 confirmation.
Me: Good morning. Here are my passport and DS-160 confirmation.
Interviewer: Thank you. So, you're applying for a student visa. Can you tell me which university you've been accepted to?
Me: Yes, I've been accepted to university of Southern California to pursue my undergrad degree in Computer science.
Interviewer: That's great. Could you explain your choice of this university and program?
Me: Certainly. I chose USC because of its strong reputation in my field of study and the opportunities for research and networking. The program aligns well with my career goals. (explained a little bit about my goals). 
Interviewer: How do you plan to fund your education and living expenses in the USA?
Me: I have a combination of personal savings that i earned by doing freelancing, a partial scholarship from the university, and financial support from my family.
Interviewer: Can you tell me more about your family's financial situation?
Me: My parents are both employed in (gave details about their job and income) . They have stable incomes and are willing to support me financially during my studies. She later checked bank statement for cross verification. 
Interviewer: Have you been to the USA before?
Me: No, this would be my first time.
Interviewer: Do you have any relatives or friends in the USA?
Me: Yes, I have an aunt who lives in Michigan but I won't be depending on her for financial support. I plan to be self-sufficient.
Interviewer: What are your plans after completing your studies?
Me: After completing my studies, I intend to return to Pakistan and apply the knowledge and skills I've gained to contribute to my home country. Furthermore i plan to continue my studies in another country for graduate school. 
Interviewer: How do you plan to manage your studies and any potential work part-time?
Me: I understand that as an international student, I'm allowed to work up to 20 hours per week on campus. I will prioritize my studies and manage my time effectively to balance work and academics.
Interviewer: How do you plan to overcome any challenges related to cultural differences or adjusting to life in the USA?
Me: I've done thorough research on life in the USA and have spoken with current students at USC who have shared their experiences. I'm open-minded, adaptable, and eager to engage with diverse cultures.
Interviewer: Your visa application is approved. Good luck with your studies!
Me: Thank you so much.
Atlast i would like to thank 
Ayesha Imran
 for her continuous support throughout this journey. Without her it was impossible for me to get through all this. May Allah bless you and Good luck to all the visa aspirants.
See you in US. 
"
7,"
Greetings! 
A quick question.
I have been accepted to two universities. 
Ohio State University that costs around 50k a year
                                 Or
Indiana University Bloomington that costs 34k a year after 50% scholarship. 
Which one is better for getting the visa?
Jazak Allah
"
8,"
I got accepted in University of New Haven for MS mechanical Engineering 2022 Fall.
The university has emailed me the acceptance letter only. They said that in 7-9 days, I’ll be informed whether I got the scholarship or not.
They asked me for the Financial documents like band statement and affidavit to proceed with my I-20.
My 
question to this group is that:
What will be the process after I get my I-20?
I have zero idea about it.
Please guide.
"
9,"
#adminapprove
 
Hey everyone. I got accepted into a university for fall 2024. I wanted to ask that if I apply for visa now and my visa get accepted can I go to us and defer my admission to january 2024 and earn until January to pay for my tuition expenses.( also can we work more than 20 hours a week  during that time)
"
