,Text
0,"
الحمداللہ
Just got my visa Approved. Here's my interview experience.
Embassy: ISLAMABAD
Here's my interview experience:
Interviewer: Good morning, please hand me your passport and DS-160 confirmation.
Me: Good morning. Here are my passport and DS-160 confirmation.
Interviewer: Thank you. So, you're applying for a student visa. Can you tell me which university you've been accepted to?
Me: Yes, I've been accepted to university of Southern California to pursue my undergrad degree in Computer science.
Interviewer: That's great. Could you explain your choice of this university and program?
Me: Certainly. I chose USC because of its strong reputation in my field of study and the opportunities for research and networking. The program aligns well with my career goals. (explained a little bit about my goals). 
Interviewer: How do you plan to fund your education and living expenses in the USA?
Me: I have a combination of personal savings that i earned by doing freelancing, a partial scholarship from the university, and financial support from my family.
Interviewer: Can you tell me more about your family's financial situation?
Me: My parents are both employed in (gave details about their job and income) . They have stable incomes and are willing to support me financially during my studies. She later checked bank statement for cross verification. 
Interviewer: Have you been to the USA before?
Me: No, this would be my first time.
Interviewer: Do you have any relatives or friends in the USA?
Me: Yes, I have an aunt who lives in Michigan but I won't be depending on her for financial support. I plan to be self-sufficient.
Interviewer: What are your plans after completing your studies?
Me: After completing my studies, I intend to return to Pakistan and apply the knowledge and skills I've gained to contribute to my home country. Furthermore i plan to continue my studies in another country for graduate school. 
Interviewer: How do you plan to manage your studies and any potential work part-time?
Me: I understand that as an international student, I'm allowed to work up to 20 hours per week on campus. I will prioritize my studies and manage my time effectively to balance work and academics.
Interviewer: How do you plan to overcome any challenges related to cultural differences or adjusting to life in the USA?
Me: I've done thorough research on life in the USA and have spoken with current students at USC who have shared their experiences. I'm open-minded, adaptable, and eager to engage with diverse cultures.
Interviewer: Your visa application is approved. Good luck with your studies!
Me: Thank you so much.
Atlast i would like to thank 
Ayesha Imran
 for her continuous support throughout this journey. Without her it was impossible for me to get through all this. May Allah bless you and Good luck to all the visa aspirants.
See you in US. 
"
1,"
Alhamdulillah Visa Approved 18th Dec 
Recevied the pickup email on 19th Dec
Karachi Counsulate
Time slot: 10am
Counter 7 Visa Officer was a male bearded guy around 30 or below I think 
Interview Experience: 
ME: Good morning
VO: How many schools you have applied to?
ME: I have applied to 5 schools and named them and while naming out he changed the question
VO: What's your Sponsor do?
Me: He's a businessman and running up a xxx business.
VO: What were you studying here?
Me: I have studied Business Studies in Bachelors of Arts
VO; after looking into the screen: Goodbye and passed me the blue slip with my I20
There were so many things that i have prepared for but luckily the Visa Officer Didn’t ask anything related to that
I have a study gap of 3 years as well as left the previous institute in my very first semester but this group has helped a lot and my friends as well as the YouTube channel of argovisa 
I'm looking for shared accommodation In Denton, Texas. Can anyone provide me any lead for that will be really appreciated 
Thanks
"
2,"
US B1/B2 visa Approved.
Frist, they took the documents DS160 and passport.
Then  called me for finger prints.
Then 
interview:
Lady: What is the purpose of your visit?
Me: Travelling, tourism
Lady:  Have you been to the US before?
Me: No, first time.
Lady: where will you be going?
Me: Newyork and Maybe Houston.
Lady: Where do you work?
Me: told the name of company.
Lady: For how long?
Me: 1 year.
Lady: what's your role in the company?
Me: told my role (it's a graduate role) 
After typing something.
Lady: your visa is approved. You will receive your passport later.
Before me, 2 people got their visa rejected.
"
3,"
Visa Approved 02-Feb-2024 Dec 
University: Depaul-Chicago. 
Program: MS Business Anaylytics.
For the April Intake. 
Karachi Counsulate
Time slot: 10am
Counter 7 Visa Officer was a male bearded guy with ponytail in his hair around 30 or below I think but was a very nice guy. 
Interview Experience: 
ME: Good morning
VO: No response, pass me your passport.
VO: How many universities did you applied to?
ME: I applied to 3 different universities of united states.
VO: From how many universities you got the acceptance?
Me: I got accepted in 3 of them naming mercer in new york, adelphi in new york and Depaul in Chicago. 
VO: Who is your sponsor?
Me: My father is my sponsor he will be looking after all my educational expenses.
VO: What's your Sponsor do?
Me: He's a businessman and running a *** business, also we have different rental properties in karachi and bahria town karachi as well. And have agriculture land which was inherited by my father from my grandfather. 
VO: Will you be coming back after your studies?
Me: Ofcourse, we have a very strong settled family business in karachi and after gaining knowldge and learning cross cultural education and environment i will be coming back. 
VO; after looking into the screen and typing and said Goodbye and passed me the blue slip with my I20 you are approved. 
There were so many things that i have prepared for but luckily the Visa Officer Didn’t ask anything related to that
I have a study gap of 6 years. 
Thanks
"
4,"
VISA APPROVED! 
Wanted to share my case because I think not many acceptances are shared here. I feel like i had this unnecessary anxiety before the interview probably after reading rejections here mostly. I witnessed same number of rejections and approvals today
Location: US Consulate General Karachi
Date: May, 15
Program: Industrial Engineering
University: University of Houston
First attempt.
A clean shaved American male in his late 40s.
Good morning officer.
No reply.
VO: pass me your documents
I passed.
VO: What is your purpose?
To pursue my Masters in Industrial Engineering from University of Houston.
Any family member living there?
No one.
What was your major in bachelors?
Chemical Engineering
Mechanical?
No, Visa officer its chemical. 
But…why go from chemical to industrial?
Told how that is going to help me. 
I don’t understand. What are your plans?
Told him again but this time i was more specific.
What did you do in these 2 years after graduating?
Worked as an Engineer at xyz for a year. Then worked as a financial consultant at xyz for 6 months. Took break to prepare for GRE and universities application and stuff.
Why did you switch from engineering to finance?
Told him again about my plans and how Masters is going to assist me.
What is Industrial Engineering?
Told. 
Oh so it is a mixture of engineering and business studies.
Yes, you can say that Visa Officer.
Who is sponsoring you? Pass me your bank statment.
Passed. I am self sponsoring myself along with the support of my father.
What does your father do?
We have a family business of Commercial Agricultural farming. He is also a Real Estate Investor. My inherited land is also used and the generated income is hoing to fund my stay in the US.
How many acres of land do you have on your name?
Told. 
So you get rent from it?
Kind of. 
Types for 2-3 minutes.
Do you want to see my tax slips and property documents?
Not needed.
Keeps on typing for another 2-3 minutes.
Which college in UH are you going to attend?
Cullen college of Engineering.
So what are you going to do after your Masters?
I will comeback to Pakistan to work as xyz.
At what kind of industry?
Chemical Industry probably because that is where i have experience.
Okayyy so….you can have your documents back. Passes me my bank statement and I-20. You’ll have your passport back in a week. I am approving your visa.
Thank you sir, have a great day.
This is all what i can recall. Apologies if i missed any questions.
Interview lasted for 10-12 minutes.
TIP: Be confident and fluent! Thats it. My interview was more like a pressure test. Officer, throughout the interview, had this uninterested/disapproval face. Also, try applying yourself instead of going to a consultant.
"
5,"
Alhamdulillah 
Date : 19sep 
Islamabad
Status : Approved 
University: eastern Michigan University 
Course: bachelor’s in mechanical engineering 
Refusal from Australia 
Rejection from uk universities in interview 
Then I connected with Allah and got the result 
I was quite nervous because the officer rejected 3 visas in front of me but also he approved 1 student visa so in the start i was narvous 
VISA officer looking like Chinese or japani wearing galasses 
Me : good morning 
Vo : good morning pass me your documents 
Me : here 
Vo : why are you going to usa?
Me : persue my bachelor’s in mechanical engineering 
Vo : when did you completed your high school degree?
Me : 2021 
Vo : why USA ?
Me : couple of reasons i choose usa first of all i have been following reaseach articles of many us professors working in the field of mechanical engineering… he interpreted and asked another question 
Vo  : pass me your transcripts of high school
Me : passed 
Vo :  what you studied in your high school 
Me : pysics , chemistry , mathematics 
Vo : why didn’t you choose usa after your matric ? 
Me : I plan to study abroad after my intermediate to take the advantage of well organized education system .
Vo : what are your family circumstances ?
Me : my father is the landlord man and he is the owner of agriculture lands where he yields sugar cane , weat and rice fileds one of my elder brother is the trader of tractors and other completed his bs mathematics last year 
Vo : your visa is approved 
pass me the blue slip 
Me : Thanku 
Officer look at me for 4 to 5 times in whole  interview then he start typing on computer 
Looking like rude  
Tip no 1 : connect with Allah and tahjud is the key of success. My English speaking skills is so bad but i trust on Allah. When I entered in embassy I recited suras . Also your father and mother prayers help you alot. 
Tip No 2 : officers don’t have time so just gave them straight farward answers .long answers i think boar the officer. 
Tip no 3 : officer is also human being so be confident he will not eat you even if your speaking skills are not good he will understand  your answers 
I think officer have an access of bank accounts and nadra because he didn’t ask me about bank statement or any other financial documents 
A lot of help from my brother bilal baloch and Rana Ibrar 
Just follow the steps of brother 
Rana Ibrar
  video of 41 mint on YouTube and also argo videos , green card videos help me alot. 
Is there anyone who is studying in eastern Michigan university or in Ypsilanti I need some help ?
"
6,"
alhamdulillah By the grace of Allah visa approved 
F1-Visa approved 
6th December 
( 
Karachi embassy )
Appointment time 10:00 am 
Visa officer was a lady around 40 or above counter number 5 
Interview experience:
Vo:Good morning 
Me: good morning officer
Vo: Why you going to USA?
Me: I am going to pursue my bachelor from St:cloud state university.
Vo: Have you done intermediate or O/A levels?
Me: i have done intermediate.
Vo: why this university?
Me: told and she interrupted.
Vo: who will pay your expenses?
Me: my father will sponsor me.
Vo: what does he told?
Me: He is businessmen he own a car showroom.
Vo: how many employees are working for him?
Me: 5 employees 
On this moment, she looked on screen around 30-40 seconds and I thought i didn’t satisfied well and i was like waiting and looking her face and reciting surah inside my heart 
.
And suddenly I heard “ I am approving your visa “ I  felt very happy.
My study gap was 7 years but i show them my work experience so now gap doesn’t matter. And I saw there is 50% luck and 50% profile and home ties. 
My journey is so long but if you are working constantly And Prayer 5 times Allah helps you, and Maa baap ki dua is must in every inch of your life. 
Thank you everyone in this group, I have learned everything from this group.
Anyone is travelling by 20 December let me know.
"
7,"
Embassy: Islamabad
Date: 12 May
Visa Status: Approved
I was a bit nervous and none of my answers went 100% smooth.
Here's how interview went.
VO: Hello(in very friendly tone)
Me: Hi
VO: (After taking my docs and entering them on PC) Why are you going to US?
Me: I am going to attend Masters in Mechanical Engineering at University of Cincinnati.
VO: (After a pause) Why did you choose this University?
Me: (I stuttered during this answer a bit) I am going because this university is aligned with my research interest.
VO: Why did you choose University of Cincinnati specifically?
Me: Because the lab facilities and faculty is suited to my research in additive manufacturing. It's the same research that I did in my bachelor's. (stuttered here too)
VO: Who is sponsoring you?
Me: My father. (I stopped after saying this for around 20 secs and then started speaking again) He is manager at X and makes Y money through job Z money through rentals and some money thru real estate trading which I don't know how much is.
VO: Cograts. Enjoy your stay at united states.
Me: Thanks.
Thoughts? 
The visa doesn't mostly depend on the interview. The VO wasn't even listening to me with attention. It depends on your uni, course and any funding you have(I had $20k scholarship). My interview wasn't the best. Actually, I would say it was average or below average.
Almost all visas(5/5) got approved before me. Only 2 were refused, who went after me. Those 2 had genuine reasons to refuse. If I were VO, I would even refuse them(not cuz of hate lol but their case didn't seem strong on paper)
Suggestions?
1. Don't go for consultants. They apply for you at few unis which VOs are aware of. VOs don't even consider you in that case. They straight away reject you.
2. Take IELTS. Take GRE. Secure full/partial scholarship(you can easily get it). Then go for visa. You will get it InshAllah.
"
8,"
I got my F1 visa approved last month and planning to travel in first week fo January. I’m an undergraduate student and my university requires me to live on canpus for the first year but the amount they are charging is almost double of what it costs to live in that city but there’s a waiver form which stats thats you can live off canpus if your family member lives in the city(Chicago) and the problem is that I do not know anyone in Chicago. Can anyone please help me with this?
"
9,"
Sorry for the very long post
Visa Approved Alhamdulillah 
Date: November 15th
Time: 10:30 Am
Karachi Consulate
Counter 7: Middle Aged White Lady
Passport Delivered: November 18th
Arrived in the US: December 23rd
University: Roosevelt University Chicago
I hope this interview experience will give hope to many of you aspiring to apply and study in the US. My profile was far from ordinary and there were so many “Red Flags” that I had very little hope of getting my visa approved. This group has been extremely helpful and supportive in the entire process.
Major Red Flags in my profile:
1. Immigration petition filed for my entire family through my mother back in 2010. (I was not the main applicant so I chose “NO” in the DS-160 question for immigration petition).
2. Sponsored by my Uncle.
3. Low Ranked University no one has heard about before. (I went with it because I had a low CGPA).
4. No scholarship at all.
5. No recent travel history.
6. Lots of family in the US.
Interview:
VO: Hi, Passport and I-20 please.
Me: Hi, there you go.
VO: Why are you going to the US?
Me: For a Master’s Degree in Computer science.
VO: Why go for a masters if you already have a bachelor’s degree?
Me: Bachelor’s is the first step for me, since I want to do research in my field in the future, Master’s is needed before I go for a PhD.
VO: Oh so you want to do a PhD?
Me: Yes, after I complete this master’s degree.
VO: PhD in what?
Me: AI and Machine Learning.
VO: Okay, what specifically in AI and Machine Learning?
Me: Augmented Driving Systems.
VO: Oh that’s nice (with an impressed look). So why did you choose this University? And how did you find it?
Me: Well honestly, I applied to about 9 universities and only 3 accepted me — among those 3, this one was the best choice in terms of ranking and other factors. (Then I named all 9 universities).
VO: Did anyone help you find this university?
Me: Uhmm, just the internet and some friends.
VO: Okay, and who is your sponsor?
Me: My uncle will be my sponsor.
VO: What does he do?
Me: He is a Director of XYZ at XYZ (Semi Gov Institution).
VO: Nice, what about your parents? What do they do?
Told
VO: Okay and does your uncle have any children?
Me: He doesn’t have any children of his own but he does have an adopted son who is young, about 5 years old right now.
VO: Okay and do you have any siblings?
Me: Yes, I have a sister. She is becoming a Chartered Accountant and is doing her Articles now. She has about 2 years left to complete that.
VO: Okay okay, and do you have any family in the US?
Me: Yes, my uncles.
VO: Oh, your other uncles?
Me: Yes.
VO: (While looking at my I-20), do they live in….
Me: I interrupted her and said no, they live in NY my university is in Chicago.
VO: Okay… everything seems to be good. I am approving your Visa and we will keep your passport, remember you cannot enter the US before December 16th.
Me: Yes, I know. Thank you officer have a nice day. Good bye.
My only advice is to Keep your Faith in Allah, ask for your wishes in Dua and be confident. If Allah wants something for you it will happen.
If any of you need any information please feel free to send me a DM and I will do my best to help you.
"
