,Text
0,"
F2 Visa Experience:
Status: Refused under 214b
Visa Applicant: My wife
Appointment: Dec 2023 at Islamabad embassy 
I 
scheduled her appointment about a week after our marriage. They asked the following questions:
Q: Why are you going to the US?
A: To spend time with my husband
Q: What is he doing there?
A: Doing Masters in ...... at ... University 
Q: How did you guys meet before marriage?
A: We did not meet before marriage since it was an arranged marriage done by our parents.
Q: Are you both relatives?
A: No, we are not relatives. We belong to the same village.
Q: How long has your husband been in the US?
She did not know exactly and mentioned 3 years instead of 1.5 years.
Sorry, we can't give you a visa and they refused the visa under 214b.
Applied for the second attempt. Need suggestions, and if any female with F2 experience can take a mock interview from my wife, I would highly appreciate.
"
1,"
F1 Visa 2nd attempt( refused)
Me:Good Morning officer 
Vo: hey Good morning! young man how are you? Pass me your documents. 
Me : 
im doing great sir. what about you. Sure Sir here are they.
Silent for 1-2 mins.
VO: just tell me what does your father do?
Me: office My father currently holds a position of technical director in (XYZ company) its a well reputed Spare parts manufacturing company of Automobiles. They make gas kits, rubber pipes and all the rubber spare parts used in vehicles Engine's. He also Served ministry of defense production department for 31 years and  after Retirement he got this opportunity.
He also posse an agricultural land from where we get annual rantel Base income and a immoveable asset right in the middle of Lahore
From where we go rental Base income per month.
He was typing so i continued talking.
Officer my father has sufficient amount of funds available for my education and I also got a Merit base Scholarship of 20000 usd which will be covering 30% of my tution fee. And the rest my father can easily afford as I'm his only depend. Furthermore i have his Bank statement and all the documents of the property he owns including the rental deed's would you like to review them please.
Vo : No thank you so much.(Silent again typing something)
I'm really sorry you are not eligible for usa non immigrant visa but you can apply anytime you want.
Me: i literally smiled 
 and said happily thank you so much officer have a great day .
VO: You too young man! 
To be very honest as my personal experience. It matters alot on USA policies and international affairs  with your country. I had a interview at 9:30 and i got my turn at 9:05.
They are hardly taking 2 mins for each candidate and refuseing i haven't seen anyone getting a visa. I'm not stressed at all  i tired My best i believe Allah has much more better plans for me than i think.
"
2,"
Status: Refused & 4th Attempt
28 August 2023
Consulate: Islamabad, Pakistan.
VO: counter 15, Male officer in mid 30s
University- Tennessee State University 
Degree: PhD in Economics 
Counter: 15
VO: Pass me your passports
ME: Good Morning, Here it is.
VO: Good Morning to you
Me: Thanks
VO: Why you want to go US?
Me: I am going to US to pursue my PhD in Economics, There are couples of reasons why I am going to US, first of all I am following research articles of US professors they did splendid job especially for the field of economics and finance generated renowed economists and researchers evidenced by their discoveries and research publications.
In addition studying in US will help me to produce Novel dissertation that will enhance my academic and research skills. IAfter finishing my PhD, I will have edge with compare to other faculty because of my PhD from US. These are all the reasons I made my mind earlier to go for PhD in USA. 
VO: Already before you rejected three times for a Master degree, but now for a PhD why?
Me: My long term goal was and is PhD but this time I got admitted into PhD, because after finishing my PhD I will go for Academia jobs.
VO: This PhD is five years program, What you will do in these five years?
Me: I will study first 2 years course work then remaining years a doctoral level dissertation. Moreover since I have Graduate teaching assistantship I will also collobarate with faculty members in teaching undergraduate courses.
VO: HM, Why this course?
Me: Because I have my bachelor and Master degree in Economics and eager to do PhD in same field. This degree will help me to find a position in highly ranked university as assistant professor in future.
VO: How many universities you applied?
Me:  I applied to 3 universities and got accepted only in this university with fully paid scholarship and graduate assistantship position.
(There was a pause and visa officer was thinking to approve or denied me, As there was silence Then I also started on my intended advisor, his research work that aligns my research area, He was moving his head then saddenly below happened)
Vo: I can't approved your visa, I am sorry.
Me: Please sir reconsider your decision and this is my 4th attempt a PhD will 100% scholarship. 
VO: I can't reconsider.
Me: May I know the reason? If you think I am potential immigrant don't worry, my petition is in process but I don't want to waste this opportunity.
VO: Its not problem with your immigration petition, but from your communication skills I made this decision.
Me: Left the embassy with lots of frustration and the interview lasted for five minutes.
"
3,"
Refused
 2nd attempt
Counter number : 7
Vo: Why are you going to usa?
Me : for my bachelors degree in computer science
Vo : 
why you chose this course?
Me :My previous degree in CS i want to continue my studies in a same field at a deeper level and i am passionate about this degree because its a rapidly growing field and it focuses. On solving complex problem and creating new technology intruped 
What will you do after your graduation?
After completing my graduation i intend return to Pakistan and apply the knowledge and  skills i have gained to support local business here in Pakistan with better data handling and security measures particularly with in sector like intruped 
Vo : how will you pay this?
Me: my father is sponsoring me:
Vo : what does he do?
Me my father  own a goods transport business he provide service of goods to all over the Pakistan explain in deeply but visa officer looking on computer in all conversation
Vo :What's change since your last application?
Me after refusal back in may i am helping with my father business as a data entry manager and responsible for monitoring goods for loading and unloading
Vo sorry I can't approved your visa
Give me yellow slip and both of time same slip i have got. 
Every answer i told in confidence   but vo in Beginning to last  was not in mood to listen and officer rejected before 3 to 4 students 
What should i do guyz  in ds160 i mentioned unemployed may be for this reason i refused i am going for 3rd attempt should i select employed and do internship related my cs field and will add? or remove that i am helping with my father business what should i do  i saw many people who got approved their visa?
Rahul Rai
 
Rana Ibrar
"
4,"
Admin please approve 
Hello Everyone
F-2 dependent visa refused thrice.
My situation is quite complicated and I need advice how to move next and do something.
I came in US Sep 17,2022 and graduating in Jan 17, 2024 three weeks later.
First F-1 Dec 2022, refused by saying husband said he will come to see his family in vacations.
2nd F-2 in Jan 2023 refused, by f-2 has no travel history.
3rd F-2 in Dec 2023 refused , by saying your husband has applied OPT which is not yet confirmee by USCIS, as my OPT application is under process. visa officer said re-apply after OPT is confirmed and a white slip issued but on ceac visa status shown as Refused .
My question is shall I apply another F-2 now after OPT approval or shall I apply for B1/B2 for convocation which is likely to happen in May 2024.
I have three kids One 7 year old, then 4 years and a 8 months old baby.
I also travelled twice to back home in January 2023 and March 2023 for about 3 months by taking a drop from study and also took family for Umrah.
What are the chances now?
Where I am making mistake ?
Need help from Anybody who can especially seniors and those who have dependents here on F-2 please .
"
5,"
Interview experience
Status:refused 214
Date:23:October 
Time:8:30
Embassy:Islamabad 
Vo:girl around 30
Just asked me 3 Questions …us visa rules are very strict 
Vo:how are you? pass me documents.
Vo :which university are you going?
Me: SDSU
Vo: which program 
Me :pharmacy bachelor degree.
Who is paying your tuition fee?
Me: my father 
Any suggestion…
"
6,"
Us visa interview today
Status Refused under 214b
Vo was a male.
Me - good morning
Vo -good morning
Me - 
how are you
Vo - good how about you
Me - good
Vo please scan your fingers.
Did
Vo - why are you going to US
ME - IM going to the US for my bachelors degree in computer science from the university of central florida.
I made a mistake by answering more. I said i choose it because of its innovation programs.
Vo - what is innovations.
Me - it is ranked as the most 
Interrupted.
Vo - no what is innovative program.
Me - i cleared him due to the ranking and its research 
He kept typing for a minute.
Vo - you are refused.
Me - thank you.
Will apply again please guide me what to do
"
7,"
Admin pls aprove 
Status 
#refused
 
Islamabad consulate
Date: 29-8-23
Course:Mscs
First attempt
Time slot: 8:30
Counter # 13
Befor me a girl and guy was refused 
.... I was calm and in peace no nervousness...
Vo appearance: small bead wearing navy blue dress shirt
Me:  good morning sir
Vo:No response (my tone was polite,humble and not that low)
VO: pass me ur Documents.
Me: did
VO: where you going (not looking at me )
VO:to the city University of Seattle to pursue my MS in Computer Science with specialisation in Ai and data science.
Vo:how many universities did u applied?
Me:4
Vo:Name them.
VO: west cliff university,city university of Seattle (fumbled for like 10 sec to pronounce Wichita state university well which really made nervous and all my confidence got shattered but some how i manage and back to the normal position like nothing happened )
florida state university,
Vo : tell me about the course 
Me: the program curriculum focus on artificial intelligence and data science.(intrupted me for the next question )
VO: why this university 
Me: because the program curriculum focus on Ai and data science, which is of interest and it perfectly align with my academic and professional background in xyz where I’ve been working on xyz and abc (interrupted me ) and asked next question 
Vo: when did u graduated?
VO: in September 2020 since then I started internships and later got job opportunity in Xyz company.
Me: who is ur sponsor? 
VO: my father 
Me : what he do ? 
VO : hes senior *** in Pakistan “”” “””(mean to say in govt employee )
Vo:handed me yellow slip while saying,am not going to approve you today, try next time.(while looking at me)
Me: ok thanks , no problem (with smile )
Note:he was conducting my interview in supersonic speed like Eminem rap god part,entire section went like  2.30 sec or hardly 3 minutes am dead sure! And he looked at me only 2 times, the time I fumbled and handing me the slip.
Senior pls tell and guid me for the next move.
Your suggestions will be highly appreciated!!!!
Thanks,
"
8,"
F1 Visa 5th june
3rd attempt 
consulate islamabad 
status Refused 
Reached to the window 
Me: Hello good morning 
VO: looked at me, didn’t said anything just shak his head
VO: Are you going for study 
Me: Yeah I’m going for study 
VO:Where are you going?
Me: Actually i have a interest to study abroad that’s why i done my bachelors degree from china now i’m going to United States for my masters of business administration and management from Oklahoma City university 
VO: You refused before?
Me: Yeah I got refused under section 214B
VO:what you changed in your profile?
Me: i changed my university 
VO: who’s paying?
Me: My parents are sponsoring me similar they sponsored me for my bachelors degree when i was in china
VO:what they do ?
Me: My father have a construction business in saudia Arabia and my mother have 3 boutiques here in Pakistan 
VO: Your father lives in saudia?
Me: Yeah he lives in saudia 
VO: what you do after your studies?
Me: after completing my studies i have plans to work along with my father in his business and extend the business and take it to advance level.
VO: you’re not qualified for student visa think carefully before you apply again.
"
9,"
Interview experience 
Islamabad , Dated: 16 Jan , 2024
status: refused 
uni: Maharishi international university
Vo was in his 40+s (white guy) 
Vo: 
why this University? 
Me: The university is offering advanced computer programming courses like AI, machine learning and DataScience and it has huge scope in the organization that im currently working in. 
Vo: sorry what?
Me: it has huge scope in the organization that im currently working in and a friend recommended me this university, he has recently completed his masters for MIU. 
Then he started typing... 
Vo: Do u have any relative or friend in USA? 
Me: No i dont have any relative 
Vo: Who is your sponsor? 
Me: Ive sufficient funds in my bank account, and my father has given me some funds as well. 
Then he said sorry gentleman i cannot issue you visa this time
what went wrong here? 
VO's dont even want to hear anything from you. They look like they are always in a hurry. whereas there was a black lady who was asking candidates thoroughly.. 
Is this Universiry a Red flag?
"
