,Text
0,"
F1 Visa rejected
Embassy: Islamabad
University:UAB
Course: MSCS
Date : 13- dec
VO: 
small beard with glasses.
Me: Hi officer how are?
VO: I'm good, hbu?
Me: I'm good to, thanks for asking.
VO : Why this University.
Me : This university ranks among the top 150 national universities. As well as the course structure is designed in such a way that it perfectly aligns with the job I'm doing and continue once I have returned to Pakistan.
VO : Great. Who's your sponsor?
Me: My first cousin who's my mother's nephew will be sponsoring me. He's American nationalist and lives.(location) and works as a (designation).Here is the latest bank statement.($55k)
VO : No need for that. Sorry I have to reject the application under 215b. Better luck next time.( Handed me white slip)
Can anyone tell me what changes I can make for applying next time?
"
1,"
Hi everyone, 
I appeared for f2 visa and unfortunately it's rejected. Interviewer was lady in Islamabad embassy. 
I need some suggestions to improve for the next time.
Here are the questions that she asked. 
1st 
question:  What is your spouse studying?
Ans: He is doing his PhD from .... university majoring in ...... Engineering 
2nd Questions: when did you guys got married?
Ans: we got married on .... 2023 
3rd Question: how did you guys meet? 
Ans: Mam he was my first cousin so we both knew each other from childhood 
She said something about cousins marriage that I didn't understand because she was not audible to me. And she rejected. 
For F2 visa I don't have anything to change in my visa application. Mostly in the posts people say that VO starts interview by asking that what did you change in the application and why it was rejected last time. I don't have proper answers for both of these questions. 
Please give me your suggestions.  Thanks.
"
2,"
Embassy = Islamabad
visa = rejected on 2nd nov 2023
VO was female around 30 to 35,
counter no 10
me = good morning 
VO= 
good morning 
VO= why are you going to USA? 
me= I am going for my associate program in Riverside Community College in California. 
VO= okay, who is going to sponsor you? 
me= primarily my aunt, and one of me uncle has also graciously agreed to help me in my finances. 
VO= do you have brother? 
me= yes . 
VO=okay, what is your brother doing?
me= he has completed his mphill from XYZ university Islamabad and now he is applying for PHD. 
 VO=okay, do you have immediate relatives in United States? 
me= yes 
VO= who? 
me= my elder sister. 
VO= is she married? 
me = yes 
VO = how many children does she have? 
me=  she have 3 children
VO= where is she living? 
me= she is living in Detroit....... township.... 
VO= what is she currently doing? 
me=   doing bachelors and also she is having  part time job. 
VO= okay, sorry United States visa rules are very strict, you can try anytime you want. 
me= okay officer, have a good day.
Seniors, kindly guide me where I had gone wrong and how I can improve my profile (case) so that next time my visa interview could be successful.
Thanks
"
3,"
F1 Visa Rejected (1st Attempt)
5th December
US Embassy Islamabad
Program: BSc. Computer Science
University: Western Illinois University
Scholarship: Nearly equal to 50% of tuition and fees
Profile:
Matriculation: 93%
Intermediate: 85%
Duolingo: 125
Me: Good Morning!
VO: Good Morning! Pass me your documents
Me: Handed
VO: What is the purpose of travel to the United States?
Me: I'm going to do my undergrad degree in Computer Science at Western Illinois University.
VO: Why this university?
Me: Several reasons for choosing this university. Firstly, the university offers a computer science program sharply focusing on the subjects of programming and mathematics, unlike other universities in which the curriculum is based on both hardware and software. And at the same time, the university offers a generous scholarship covering 50% of my tuition fee. That's why I chose this university.
VO: Why is going to sponsor your educational funds?
Me: My father is going to bear the expenses of my studies in the US.
VO: What does he do?
Me: My father has been working as a safety officer in XYZ company for the last 25 years and side by side he is a real estate investor. We own multiple residential and commercial properties worth XYZ M through which we are gaining a significant amount of rental income.
VO: Sorry we can't approve your visa. Try next time and handed me a white slip.
Now, I have requested my universities to defer my semester to fall 2024. Any suggestions for the next attempt or what changes should I make in my profile?
"
4,"
Visa interview date 26-1-2025 8:00 am
Status rejected 214(b) white slip
VO was a white male with little beard & eye glasses
Me : 
Good morning
VO : no response
VO said in hurry : so you are going to California
Me : i just hardly just said yes
VO : and your father will be going to sponsor you
ME : hardly said yes
VO : what's your father do
Me : He's a businessman own a xyz construction firm, he also holds share in xyz and xyz pvt limited
VO typing...... For 30 secs almost 
Then he asked me why this university
Me : There are numerous reasons to choose this 
For instance the course outline of this program perfectly aligns with my career goals... He stopped me
VO: what's your future goals
Me ; i would like to assist my father in his business, inherit the responsibilities that were previously shoulder my late brother... He stopped me
VO : typing... No eye contact 
'Sorry visa rules are strick now' and gave me white slip
Kindly guide me for the next time.
Seniors please guide me 
All the officers rejected almost everybody today.
"
5,"
Visa interview experience. date 11th april.
 decision : Approved Alhamdulillah
This was my third interview.
every thing was same this time. gave my last interview 1 month ago.
First vo was the one who rejected me last time and she told me to go to next counter and she said best of luck 
Me: good morning officer.
Vo : good morning .
Me : how are you 
Vo im good pass me  your documents
me : sure.
Vo: you have already done your fingerprints. 
me : yp
Vo: so, is there someting you wanna say that you couldn't say last time 
Me: yes officer i have alot to say this time cause i believe last time i was unable to convey my answers well to officer last time but this time i have worked alot on my communication skills.
Vo : hmm 
Me :  well i was rejected both time under 214 b which states i have weak ties with my home country 
And honestly i totally disagree with that reason . i mean every thing  dear to me is in pakistan . my friends,  my family , my fathers business which i intend to take over in future is in pakiatan . why wouldn't i come back to pakistan .
Vo: ok so south allamaba .
Me: yes , actually i have already changed my uni ones. 
Vo: kept looking at me .  i felt i need to say something . 
Me , well i gave my first interview with minisota state university but i was rejected so i changed my uni to university of south alabama .
Vo: and why did you do that? 
me: well to update my profile .
Vo: no i mean why did you change it to this one .
me : well my intention was to study at south alabama since the beginning but i got my offer letter from minesota state uni first so i gave my interview with that one . 
vo : started  typing 
Me: actually i thought my i 20 from this uni is still valid till 5th may So, lets go with the flow and give it a  try again and see what happens. 
Vo: ok. so which course ? 
Me: it's bachelors in business administration with management as my major .
vo: whats your last qualification? 
Me : well i did my college in ics stats. 
Vo: college you did your bachelors ? 
me : no no Its intermediate in Computer science with stats.
Vo: so, why you changed you course i mean u did Cs last time now its bba . 
Me : well it was ics with stats and stats is a business subject . and my course in this uni also has some computer related subjects like organizational Applications and use of computer application to enhance a business productivity .
Vo: alright . 
Me : actully my intention is to takeover my fathers business in future  and this course will help me acquire the required managerial skills  for that .
Vo:  Alright . i see you have a sibling in spain .
Me:  yeah my sister is in spain . 
Vo : what is she doing there ? 
me : well shes a housewife .
Vo : so what does her husband do? 
me : well my brother in law owns a restaurant in barcelona . 
Vo: and which status does your sister have there .
me: well she is a permanent resident there. 
vo: and how she got there . 
Me: well my brother in law came to pakistan and they were a distant reletives of ours and They got married and after the marriage  she went to spain as she has to be with her husband .  there was no need for her to stay here . 
Vo : Ahn . well can i see your dads bank statement . 
Me: yeah sure give a  minute .. here . 
Vo: checked it and said Alright .
Vo : so your brother is doing his master which field he has chosen . 
Me : yeah he is foing his masters in it from comsat lahore . and i also wanna mention that i was influenced by him in a way . i mean he use to say . my professor has studied in Usa . he kinda use to brag about it ( said that with a laugh ) 
So i thought well if im doing bachelors lets do it from usa . As a us institutions degree is well distingushed across Globe . 
Vo : alright . then a long pause he kept typing i knew  the decision is coming . and i knew im getting rejected . 
 suddenly Vo : Well im taking a chance with you so dost waste it . 
Me: i didn't understand what he mean and suddely he passed the blue slip . and said congrats i have approved you visa . Enjoy 
Me: thank you very much officer you just made my day . i dont even know what to say now im out of words 
Vo: i can undertand well dont forget to take you i20 along with your luggage . 
Me : thanks again and when will i get my passport 
Vo: with in a week. 
Me: Alright bye  
( during the  whole interview i  was chill . cause i was prepaired to be rejected and was kinda enjoying the talk) 
  .
"
6,"
Interview Experience 
Rejected 
Date:21/12/2023
Around 70 People Were Interviewed 
And 
Only 1 F1 and 2 b1 were Accepted 
Me: Good Morning Sir! Confidently 
VO: Good Morning (Passport Please)
And He Immediately Asked:
Why This University?
Me: I Have Selected This University Because this university has very good reputation in field of biology and Moreover i have been Granted 6000$ pf scholarship from this university.
And He Interrupted me and said
VO: Do You Have Traveled Outside Pakistan?
Me: Yes i have traveled to Saudi Arabia Multiple Times To Perform Umrah.
Then Again He Interrupted me again and said hows your sponser?
Me:My Uncle Is My Sponsor 
Again he interrupted me without answering full answer then he said what does he do
Me: I Told Him About bussiness of my uncle
Then He Rejected me.
Note: Their Was 3 Counters Active And All Of VO where rejecting Students in less than 1min and they where not serious to hear our answers.
Even The Staff Member didn’t allow us to show property documents to vo which was really important for my case.
Suggestion Needed: Can Change My Sponsor?
From Uncle To My Father.
now i am not interested to give interview in islamabad because of heaetbreaking behaviour of visa officers so i am deciding to Visit Karachi Embassy For Further Interview so my question is it wise to give interview in Karachi embassy?
"
7,"
Visa Rejected Today 30/12/2019
Me: Hi Good Morning Mam
Vo: Good Morning Thank you ( with smile)
Vo: Why are you going to US?
Me: I 
am going USA to pursue my Mba degree from Adelphi Uni NY.
Vo: Why this specific Uni?
Me: Because I am looking for a research based business degree and I know Adlphis business degrees are research based  , I know one of the professor of Adelphi who is doing research on Building Shareholder value which is my area of interest too.........
Vo: How you will pay the expenses?
Me: my father father will be financing expenses for my entire degree program.
Vo: What does your father Do?
Me: He's a business man and He imports Fruits from Afghanistan.
Vo: Can you show me Financial evidence or Bank statement?
Me: Yes Sure Here you are ( I showed Bank Statement of my own Bank Account )
Than I give my bank Statement, She was reading it for almost 40 seconds , 
Than she said me please wait I am coming In a while and she took financial statement and went 
After almost 2 minutes she came back and typing some thing in computer 
She typed for almost 40 seconds than once again she leave seat and went somewhere after Almost 3 minutes she came back with an another lady both were talking some thing also looking to my bank statement and I20 after almost 1 minute the other lady went and my Vo typed something and than told me sorry ..... Try next time
Now ?
U0517i9dL.com
Photos from Ashiq Orakzai's post
3s1yAjIU3vDrzrUF4y0FfmhecT7MlQkjWnipN7ymCg4nUowm9paXJRbhbjgr4mmsV
"
8,"
Status : rejected
attempt 1st 
Data : 21 Dec Timing : 8:00
isl embassy counter no 14 (Korean looking lady)
me: Good morning officer. 
Vo: 
Good morning. Pass me your documents
me: here you go
Vo: Why are you going to the usa?
me : To pursue my undergrade in computer sciences in DePaul University(Than I myself started explaining Why I have chosen Depaul) 
me : During my gap year, I did many projects regarding machine learning and data science so I knew I wanted to be a data scientist so at Depaul there is an amazing program named Motorala scholar program where I will be able to spend a year long project based learning regarding data science. Every week
vo: interrupted me and asked, are you giving me the answer of why Depaul?
me: yes
vo: Okay. Go on than
 me: there will me new project and every month there will be a capstone project. Starting from chat bot to ai attendence system.
( I wanted to explain her more about why I have chosen this university but)
Vo: Interupted me and asked In how many universities did you apply?
me : 2 and got accepted to both
Vo : Which was the other one?
me : It was Drexel University ( forgot to tell her about the scholarship I got at Drexel)
vo: Who will be sponsoring your studies?
me: My father( I forgot to mention that I got 52% scholarship in Depaul)
Vo: What does he do?
me : He works as a xyz in xyzy company in Dubai.
Vo: What company?
me: Told her about that (Based on her face expression I think she didn't know about that company)
Vo: Do you have any other relative who lives abroad? 
me : No it's just my father.
Vo: Sorry you are not qualified for this visa and handed me 214-b slip. 
Vo didn't even looked at me and was continuously typing on the computer during the whole interview. I really got emotional and cried alot after coming out of the embassy becuase I was prepared.
Any suggestion about where I should improve for my next attempt?
Any idea about what caused the rejection.
Should next time I avoid giving interview to womans?
"
9,"
5 January, 2022
Status : Rejected (214b)
Bechlors in Computer science 
Queens college Cuny
1st attempt 
Islamabad consulate
Me: hello sir good morning 
He didn't replied 
Vo: put your fingers on scanner
Me: ok
Vo: pass me ur documents 
Me : gave 
He watched my i20 
Vo: So how you found this University 
Me: I used multiple course finder websites   and other social media sites and this university suits me so i choosed this
Vo: why uare you going to us
Me: im going to study my bechlors degree in computer science 
Vo: have you been to us before? 
Me: No sir
Vo: who is your sponsor? 
Me: father 
Vo: what does he do? 
Me: told
Vo: how many siblings do u have? 
What do they do
Me: told
Vo: we have strict policies i know you really want to study in Us but this time you can't get the visa 
And spoke 1 2 lines further but i didn't listened to him just picked up my docs and yellow slip and left the desk by saying ok thank you so much 
I loose my confidence while talking to him and just puzzled that's my reason of rejection. 
Be confident and be straight forward and you should explain yourself because, the one who was explaining they really got their visas today i was watching them 
4 to 5 students got their visas in front of me 
Don't be nervous just be yourself you will get visa
"
