,Text
0,"
I got accepted by the University of Southern Indiana and for the I-20 they are demanding the documents along with the 150$ Enrollment fee Should I have pay the enrollment or is there any other option. what should I do
"
1,"
Hi everyone. 
I wanted to share my journey. It took approximately a month. All you need to do is to stay optimistic and consistent.It takes determination , hard work and a sprinkle of luck to make it happen. 
I gave duolingo.
No GRE 
I’m on assistantship (Research assistant)
I 
applied on 12th of july got accepted within two days. I booked an emergency appointment and got a slot for 8th of August. The interview was very brief and hardly lasted for 2 minutes. I landed in state on 7th of September. 
This group helped me a lot . If any of you guys need assistance with the interview preparation or anything else feel free to reach out to me I will do my best to lend a hand . There might be moments of uncertainty and doubt , but don’t let them discourage you . Keep pushing forward and stay focused on your goals.
"
2,"
Update: 
My F1 visa got accepted today. The VO didn’t ask me for any documents or bank statements. 
Hey!
my appointment is on 6th September and this will be 2nd interview at Islamabad embassy (got a refusal in July). The situation was different in my first attempt as I only had a scholarship of 25% and the rest of the amount was a loan from prodigy. 
Now 
in my second attempt I have almost 60% scholarship from the university and instead of loan from prodigy, my uncles are my sponsors (my mamu and khaalu) and my I20 only mentions a 12000$ family funding. 
I was refused under 214 (b) and the VO also showed a concern about my loan repayment. 
What do you think are the chances that I can secure an F1 visa in my second attempt with all the changes in my interview? 
P.S. I already have a valid B1/B2 visa which will expire in 2027.
Thank you
"
3,"
Please Admin approve my post.
AOA to all of you.
I've been accepted by a professor for PhD program at the University of California, USA. I need your feedback on an important matter. The guidelines state that if you've studied in an English medium, you don't need an English test like IELTS or TOEFL. I reached out to the professor, who advised me to ask the graduate admission director, but I haven't received a response. I then contacted the graduate student affairs officer, who 
confirmed that I don't need to take the IELTS.
I'm a bit concerned about whether I should proceed without the test. The application deadline is December 1st, and need a 7-band score. Will this decision impact my application negatively? Your insights are much appreciated.
"
4,"
Alhamdulilah! I 
got accepted to Fully Funded Masters 
Scholarship in Computer Science from 
Canada
 as well as 
America
.
HOW YOU CAN GET IT AS WELL?
1 line answer is: "" Good and Novel Research Work "" (Publication is not required).
A bit of 
detailed method
 (How I got the scholarship):
I have 
3.3 CGPA, and NO Publications
 but my research work is meaningful that I could write about it thoroughly in my Statement of Purpose.
Conduct good and meaningful research work in your home country (it means come with a problem and spend a few months or a year in solving that problem or problems in a good university or research lab under other professors, who can guide you).
Apply in Masters Thesis Programs only.
Write Statement of Purpose which should mainly focus on your research work and future prospects and reflects why this particular professor and university is the best match with your work (relate your work with prospective supervisor in the SOP, write his research paper titles and relate it with yours in 1-2 lines).
Get 3 Letters of Recommendations from your university (these letters should support and highlight your research work and what you have written in your SOP, it should not be generic at all (as most university professors give generic letters and they are useless).
Now, Choose universities you intend to apply based on your CGPA (like if you have just 3.0, then University of Toronto's scholarship doesn't make sense in your case) and follow these steps.
Visit Faculty profiles (related to your desired department of study), of let's say 20 different universities.
See the Google scholar and Personal Website of the Professors of that department you want to apply in. 
List down which 3 professors best matches with your research work and domain in those universities.
If there is no professor which matches with your research work, then do not apply in that university.
Write about his work and relate that to your work in your SOP.
Write him an email as well (after applying) that how his work was related and how you can assist him in his work and how his work fascinates you.
It would need you to read Abstracts of his recent research papers (to write, and relate such things in SOP)
Weightage to this method is 50% and 
rest of the 50%
 is Praying to Allah
Now Wait and be good to others. 
GREAT THINGS COME TO THOSE WHO BELIEVE IN THEMSELVES AND HELP OTHERS.
"
5,"
Visa Experience:
Date: 6th July 
Time: 9.45 am
Karachi Consulate
Status: Approved
Me: Hello. Goodmorning.
VO: Goodmorning. 
VO: Why do you wanna go to USF? 
Me: Compared to the other universities that I got accepted in, USF has got the best CS program out of them.. (interrupted) 
VO: What is CS? 
Me: Computer Science
VO: Why do you wanna pursue Computer Science? 
Me: Since a young age, I’ve been fascinated by computers and growing up I got inspired by people like Bill Gates and Elon Musk. I want to replicate what they have achieved so far, here in Pakistan. 
VO: Have you been to the US before?
Me: Yes. I went to US in 2009 to visit my dad who was studying at Columbia University at the time. 
VO: Oh okay. But why do you wanna go to USF? 
Me: I got a good scholarship from USF. 
VO: How much is the scholarship? 
Me: It’s 12,000 USD.
VO: But you had other options as well, then why USF?
Me: Most of the other universities that I got accepted at were liberal art colleges, whereas I wanted to go to a bigger university… (interrupted)
VO: I’m not interested in other universities. Tell me why you wanna go to USF? 
Me: I had the option of either going to USF or.. (interrupted) 
VO: I don’t wanna hear about other universities. Tell me why USF? 
Me: (I got stuck and confused for a few seconds)
Me: It’s ranked in the top 250 universities globally and has a good faculty for my program. 
VO: But there are other top 249 universities in the world too, why did you choose USF then? 
Me: According to my SAT score, USF suited me the most. 
VO: Your visa is approved. You can collect your passport in 3-5 days.
Me: Thank you. 
VO: You’re welcome.
"
6,"
I got accepted in Mississippi State University with 100% scholarship ( $25000 per year ). ( family contribution : $18000 )
- no relative abroad 
- Father owns a software and IT company ( in Pakistan and Dubai ) that I will join after my graduation. ( also matches my major )
-about $200,000 assets and pkr 900,000 monthly salary of father .
-Very High grades and test scores 
-Went to Dubai for a trip 2 years ago
-above average english
I wanted to know what are the chances of my visa approval .
Thanks in advance
"
7,"
الحمداللہ
Just got my visa Approved. Here's my interview experience.
Embassy: ISLAMABAD
Here's my interview experience:
Interviewer: Good morning, please hand me your passport and DS-160 confirmation.
Me: Good morning. Here are my passport and DS-160 confirmation.
Interviewer: Thank you. So, you're applying for a student visa. Can you tell me which university you've been accepted to?
Me: Yes, I've been accepted to university of Southern California to pursue my undergrad degree in Computer science.
Interviewer: That's great. Could you explain your choice of this university and program?
Me: Certainly. I chose USC because of its strong reputation in my field of study and the opportunities for research and networking. The program aligns well with my career goals. (explained a little bit about my goals). 
Interviewer: How do you plan to fund your education and living expenses in the USA?
Me: I have a combination of personal savings that i earned by doing freelancing, a partial scholarship from the university, and financial support from my family.
Interviewer: Can you tell me more about your family's financial situation?
Me: My parents are both employed in (gave details about their job and income) . They have stable incomes and are willing to support me financially during my studies. She later checked bank statement for cross verification. 
Interviewer: Have you been to the USA before?
Me: No, this would be my first time.
Interviewer: Do you have any relatives or friends in the USA?
Me: Yes, I have an aunt who lives in Michigan but I won't be depending on her for financial support. I plan to be self-sufficient.
Interviewer: What are your plans after completing your studies?
Me: After completing my studies, I intend to return to Pakistan and apply the knowledge and skills I've gained to contribute to my home country. Furthermore i plan to continue my studies in another country for graduate school. 
Interviewer: How do you plan to manage your studies and any potential work part-time?
Me: I understand that as an international student, I'm allowed to work up to 20 hours per week on campus. I will prioritize my studies and manage my time effectively to balance work and academics.
Interviewer: How do you plan to overcome any challenges related to cultural differences or adjusting to life in the USA?
Me: I've done thorough research on life in the USA and have spoken with current students at USC who have shared their experiences. I'm open-minded, adaptable, and eager to engage with diverse cultures.
Interviewer: Your visa application is approved. Good luck with your studies!
Me: Thank you so much.
Atlast i would like to thank 
Ayesha Imran
 for her continuous support throughout this journey. Without her it was impossible for me to get through all this. May Allah bless you and Good luck to all the visa aspirants.
See you in US. 
"
8,"
I recently accepted for fully funded PhD position.
On 17 April, I will receive my I20 form. The joining date to university is 1st June 2023.
Is it recommended to ask a supervisor to contact the US embassy to support my study visa application? So that application process will be faster.
Kindly guide me. Your help will be appreciated. 
Regards
"
9,"
I have been accepted at the Eastern Michigan University for bachelor's in Computer Science. I'm looking to connect with someone already studying there for some details. 
TIA.
Like
Comment
Send
Write a comment…
Facebook
Facebook
Facebook
Facebook
Facebook
Facebook
Facebook"
