,Text
0,"
Hello,
I was refused for F1 Visa twice last year. I am currently a second-year bachelor's student. I have received an invitation from Harvard to attend their event. Is there anyone in the group who can help me strengthen my case and make it more convincing for the visa officer when applying for the B1 visa?
"
1,"
Interview experience
Status:refused 214
Date:23:October 
Time:8:30
Embassy:Islamabad 
Vo:girl around 30
Just asked me 3 Questions …us visa rules are very strict 
Vo:how are you? pass me documents.
Vo :which university are you going?
Me: SDSU
Vo: which program 
Me :pharmacy bachelor degree.
Who is paying your tuition fee?
Me: my father 
Any suggestion…
"
2,"
Visa Status: Refused. 
Embassy: Islamabad. 
VO: Why this course? 
Me: 
because this course aligns my previous education. I did BA with journalism and then MSc Communication Studies. 
VO: (while looking at I 20) Do you have offer from other schools? 
Me: I applied to three different universities (told names) and got offer letter from this uni. The application for other two is under process. 
VO: Did you ever go abroad before? 
Me: No, it is the very first time, I have applied for visa and going abroad. 
VO: So, you are Assistant Editor at (newspaper name)
Me: Yes. 
VO: Is it a newspaper? 
Me: Yes. 
(He kept typing on his screen). 
VO: Who is your sponsor and what is his business? 
Me: My paternal uncle is my sponsor. He owns an flour mill as well as a rice mill.  His annual income is 20-25 million. 
VO: How many people are working in this business? 
Me: 60 people are working in this business. They all get a monthly salary of around 3 million. 
VO (after a few seconds): Unfortunately, you cannot be granted visa this time. US immigration rules are very strict. 
Me: Can you please reconsider my request as I am a genuine student. 
VO: No, the decision is final. 
Now, please tell me what was wrong. I was confident enough. All the interview experiences I listened on youtube , and learned from experts, they said to be confident. I was confident and looking into eyes of VO. I was also positive. My answers were also concise and to the point. 
Can you please guide me the reasons for refusal? 
I want to reapply. What should I change in my application now? My university is Arizona State University.
"
3,"
Admin pls aprove 
Status 
#refused
 
Islamabad consulate
Date: 29-8-23
Course:Mscs
First attempt
Time slot: 8:30
Counter # 13
Befor me a girl and guy was refused 
.... I was calm and in peace no nervousness...
Vo appearance: small bead wearing navy blue dress shirt
Me:  good morning sir
Vo:No response (my tone was polite,humble and not that low)
VO: pass me ur Documents.
Me: did
VO: where you going (not looking at me )
VO:to the city University of Seattle to pursue my MS in Computer Science with specialisation in Ai and data science.
Vo:how many universities did u applied?
Me:4
Vo:Name them.
VO: west cliff university,city university of Seattle (fumbled for like 10 sec to pronounce Wichita state university well which really made nervous and all my confidence got shattered but some how i manage and back to the normal position like nothing happened )
florida state university,
Vo : tell me about the course 
Me: the program curriculum focus on artificial intelligence and data science.(intrupted me for the next question )
VO: why this university 
Me: because the program curriculum focus on Ai and data science, which is of interest and it perfectly align with my academic and professional background in xyz where I’ve been working on xyz and abc (interrupted me ) and asked next question 
Vo: when did u graduated?
VO: in September 2020 since then I started internships and later got job opportunity in Xyz company.
Me: who is ur sponsor? 
VO: my father 
Me : what he do ? 
VO : hes senior *** in Pakistan “”” “””(mean to say in govt employee )
Vo:handed me yellow slip while saying,am not going to approve you today, try next time.(while looking at me)
Me: ok thanks , no problem (with smile )
Note:he was conducting my interview in supersonic speed like Eminem rap god part,entire section went like  2.30 sec or hardly 3 minutes am dead sure! And he looked at me only 2 times, the time I fumbled and handing me the slip.
Senior pls tell and guid me for the next move.
Your suggestions will be highly appreciated!!!!
Thanks,
"
4,"
Dates Available for refused category
eUKEKFDQJ.com
Muhammad
Dates Available for refused category
"
5,"
Status: Refused & 4th Attempt
28 August 2023
Consulate: Islamabad, Pakistan.
VO: counter 15, Male officer in mid 30s
University- Tennessee State University 
Degree: PhD in Economics 
Counter: 15
VO: Pass me your passports
ME: Good Morning, Here it is.
VO: Good Morning to you
Me: Thanks
VO: Why you want to go US?
Me: I am going to US to pursue my PhD in Economics, There are couples of reasons why I am going to US, first of all I am following research articles of US professors they did splendid job especially for the field of economics and finance generated renowed economists and researchers evidenced by their discoveries and research publications.
In addition studying in US will help me to produce Novel dissertation that will enhance my academic and research skills. IAfter finishing my PhD, I will have edge with compare to other faculty because of my PhD from US. These are all the reasons I made my mind earlier to go for PhD in USA. 
VO: Already before you rejected three times for a Master degree, but now for a PhD why?
Me: My long term goal was and is PhD but this time I got admitted into PhD, because after finishing my PhD I will go for Academia jobs.
VO: This PhD is five years program, What you will do in these five years?
Me: I will study first 2 years course work then remaining years a doctoral level dissertation. Moreover since I have Graduate teaching assistantship I will also collobarate with faculty members in teaching undergraduate courses.
VO: HM, Why this course?
Me: Because I have my bachelor and Master degree in Economics and eager to do PhD in same field. This degree will help me to find a position in highly ranked university as assistant professor in future.
VO: How many universities you applied?
Me:  I applied to 3 universities and got accepted only in this university with fully paid scholarship and graduate assistantship position.
(There was a pause and visa officer was thinking to approve or denied me, As there was silence Then I also started on my intended advisor, his research work that aligns my research area, He was moving his head then saddenly below happened)
Vo: I can't approved your visa, I am sorry.
Me: Please sir reconsider your decision and this is my 4th attempt a PhD will 100% scholarship. 
VO: I can't reconsider.
Me: May I know the reason? If you think I am potential immigrant don't worry, my petition is in process but I don't want to waste this opportunity.
VO: Its not problem with your immigration petition, but from your communication skills I made this decision.
Me: Left the embassy with lots of frustration and the interview lasted for five minutes.
"
6,"
F1 Visa 2nd attempt( refused)
Me:Good Morning officer 
Vo: hey Good morning! young man how are you? Pass me your documents. 
Me : 
im doing great sir. what about you. Sure Sir here are they.
Silent for 1-2 mins.
VO: just tell me what does your father do?
Me: office My father currently holds a position of technical director in (XYZ company) its a well reputed Spare parts manufacturing company of Automobiles. They make gas kits, rubber pipes and all the rubber spare parts used in vehicles Engine's. He also Served ministry of defense production department for 31 years and  after Retirement he got this opportunity.
He also posse an agricultural land from where we get annual rantel Base income and a immoveable asset right in the middle of Lahore
From where we go rental Base income per month.
He was typing so i continued talking.
Officer my father has sufficient amount of funds available for my education and I also got a Merit base Scholarship of 20000 usd which will be covering 30% of my tution fee. And the rest my father can easily afford as I'm his only depend. Furthermore i have his Bank statement and all the documents of the property he owns including the rental deed's would you like to review them please.
Vo : No thank you so much.(Silent again typing something)
I'm really sorry you are not eligible for usa non immigrant visa but you can apply anytime you want.
Me: i literally smiled 
 and said happily thank you so much officer have a great day .
VO: You too young man! 
To be very honest as my personal experience. It matters alot on USA policies and international affairs  with your country. I had a interview at 9:30 and i got my turn at 9:05.
They are hardly taking 2 mins for each candidate and refuseing i haven't seen anyone getting a visa. I'm not stressed at all  i tired My best i believe Allah has much more better plans for me than i think.
"
7,"
6th November, 23
REFUSED
Please share what do you guys think can be the reason I got refused?
Q1, 
What are the courses you’re going to study in first semester?
Ans, Cornerstone and two introductory courses. Fundamentals of management & marketing.
Q2, Why US?
Ans, After graduation last year, I joined the xyz industry and I noticed a commonality amongst CEOs of top 10 companies operating here which was that 7 out 10 CEOs have all studied from the USA. And since I also want to make my career in Pakistani xyz industry, having studied in the US would increase my odds of a successful career in Pakistan Significantly.
Q2, When did you graduate? 
Ans, Last year in 2022, in the months on June/July
Q3, What did you do after that?
Right after graduation I joined xyz organisation’s headquarters for an internship for a period of 3 months and while still there I landed a job at the headquarters of abc and I have been working here since then.
Q4, Which department?
Ans, Credits/Lending
Q5, How many universities did you apply to?
Ans, A total of 5 universities and got in in all of them. Here are the admission letters from all of them. Do you want me to name them? VO replied no need.
Q6, have you ever traveled outside of Pak?
Ans, Although it was a long time back but yes I have traveled to UK.
Q7, (Pointing towards to amount on I20) VO asked about how I’ll arrange the funds needed for the second year of my master’s as the amount written on i20 is only for 1st year.
Ans, I already have the funds needed for second year of my masters as can be seen from my bank statements. My family has liquid funds of double the amount needed in I20 allowing for any unforeseen circumstances.
Q8, Please show me your bank statements
Ans, Passed the statements to the VO
Kept looking on the screen and then said that the US visa laws are very strict I’m sorry and then gave me a white slip.
Note: 
-My university was: University of Dallas (UD)
-My sister also lives in Texas and was my co-sponsor as well.
-My bachelors was BBA and graduated in june 2022
-Masters program was MBA w/ concentration in Business Analytics 
Please advise as to what I can improve in my application and if i should apply again?
pVIwqgexp.com
Muhammad
6th November, 23
REFUSED

Please share what do you guys think can be the reason I got refused?

Q1, What are the courses you’re going to study in first semester?
Ans, Cornerstone and two introductory courses. Fundamentals of management & marketing.

Q2, Why US?
Ans, After graduation last year, I joined the xyz industry and I noticed a commonality amongst CEOs of top 10 companies operating here which was that 7 out 10 CEOs have all studied from the USA. And since I also want to make my career in Pakistani xyz industry, having studied in the US would increase my odds of a successful career in Pakistan Significantly.

Q2, When did you graduate? 
Ans, Last year in 2022, in the months on June/July

Q3, What did you do after that?
Right after graduation I joined xyz organisation’s headquarters for an internship for a period of 3 months and while still there I landed a job at the headquarters of abc and I have been working here since then.

Q4, Which department?
Ans, Credits/Lending

Q5, How many universities did you apply to?
Ans, A total of 5 universities and got in in all of them. Here are the admission letters from all of them. Do you want me to name them? VO replied no need.

Q6, have you ever traveled outside of Pak?
Ans, Although it was a long time back but yes I have traveled to UK.

Q7, (Pointing towards to amount on I20) VO asked about how I’ll arrange the funds needed for the second year of my master’s as the amount written on i20 is only for 1st year.
Ans, I already have the funds needed for second year of my masters as can be seen from my bank statements. My family has liquid funds of double the amount needed in I20 allowing for any unforeseen circumstances.

Q8, Please show me your bank statements
Ans, Passed the statements to the VO

Kept looking on the screen and then said that the US visa laws are very strict I’m sorry and then gave me a white slip.

Note: 
-My university was: University of Dallas (UD)
-My sister also lives in Texas and was my co-sponsor as well.
-My bachelors was BBA and graduated in june 2022
-Masters program was MBA w/ concentration in Business Analytics 

Please advise as to what I can improve in my application and if i should apply again?
"
8,"
US B1/B2 visa refused 
Oct 27 2023
Karachi 
Applied with wife and 3.5 years old son
First, they took the documents DS160 and passport.
Then 
 called us for finger prints.
Then interview:
She was a young lady and a senior lady was standing beside her.
Lady: What is the purpose of your visit?
Me: going to attend the HX hotel exhibition. Which is related to my business.
Lady:  what is your business?
Me: i own a restaurant named XYZ. 
Lady: what kind of restaurant is this?
Me: It's a fast food restaurant. Pizza burgers.
Lady: what is your monthly income?
Me: when I applied for a visa it was .... but now its  increased.
Lady: how many employees do you have?
Me: 9
Lady: have you visited any other country before ?
Me: yes i have lived 8 years in Dubai.
Lady: from which year to Which year?
Me:2013 to 2021
Lady: have you lived with your family in any country?
Me: yes we lived in dubai.
Lady: do you have any relatives in the USA?
Me: no
Lady: then how are you gonna stay there?
Me: it's a short trip and we will stay in a hotel. 
Then she started talking to a senior lady.
The senior lady was talking and shaking head like saying no ...the interviewer lady seemed like convincing her. They did a discussion for about 30 sec then the senior lady left. The young lady started typing.....after almost 1 min of typing she refused and pass me the yellow paper
This counter was rejecting everyone 
Don't know the reason. The interview was going well.
"
9,"
5 sep 2023
Islamabad Embassy 
Status= Refused
Good Morning officer How are you?
Good Morning Am fine
Why 
are you going To usa?
I am going to usa to persue my master's in businesss administration and management at LIU brooklyn campus
How Many universities did You applied?
Told
Have You any relatives in USA?
Yes I have my uncle is living in USA virginia state.
Who is going to pay your education fees and living expenses?
My Father Elder brother has offered me to sponser my education and living expeneses.
What does he do?
... He is the owner of payless hvac company inc in Woodbridge virginia.
Then he looks in to the computer and start typing, and he asked show me you offer letter, and then he said I can't issue your visa you can apply again...
The thing I noticed today now. It's the rule of USA, if your relatives are living in the united states, and they are sponsering your education. Its a big red flag
.
So never go with your uncle bank statements its a red flag. It's just a wastage of money..
"
