,Text
0,"
GOT REJECTED 3 TIMES 
1st Attemp.
Date: 1st june
Karachi consulate.
Status: refused
Vo :Are you student here in pakistan?
Me: Yes i am currently student at MAJU university with 100% scholarship.
Vo:What is your course?
Me: BSCS
Vo: What you learn about computer science in school?
Me: Computer science is the study of computer technology, both hardware and software. However, computer science is a diverse field; it include algorithms,AI,IT,etc.......
2nd Attemp
Date: 30 june
Karachi consulate
Status:Refused
Vo:  Why you choose this university ?
Me: St cloud State University  is one of the top rank University in Minnesota and also the university gave me the scholarship of 7906$ which will beneficial for  my sponsor. the faculty ratio of university is also high as a result students interact with the professor or teachers easily.
Vo: Why you choose computerscience?
Me: i see a huge perspective in this field technology keeps evolving day by day Studying computer science will help me to develop many skillsand also Computer science graduates are in high demand all over the world as a result i will find plenty of job opportunities in this field.
Vo: Who is sponsoring you? 
Me: My father.
Vo what does he doo?
Me: told. 
Vo: Last time you rejected have you change anything in your profile?
Me:No
Vo: Are you student here in pakistan?
Me: Yes i am currently  in xyz university with 100% scholarship.
Vo: What are you studying in pakistan?
Me: Same BSCS
Vo: Semester?
Me: First
Vo: sorry you are not qualified for the visa 
Me. Can you tell me the reason?
 Vo.
.
3rd Attemp.
Date: 17 August 
Karachi consulate.
Status: refused
I went to the counter the officer said pass me your documents. gave the (i20 and passport) put your left four fingers on scanner after that he said sit down on the chair and wait when i call you back. After that he got up from the chair and went somewhere back. and then he call other two people for the interview. first one got approved and second reject. After that he calls my name and interview began.
VO. Why you going to usa?
ME. To complete my further education from st cloud university.
VO. Why you choose usa?
ME. well USA was the only country that comes on top having top qualified professor the avalibility of all kinds of program top ranking universities are there so these all things inspired me to select USA.
VO. Did you change anything in your profile?
ME. No 
VO. You write this? and when?
ME. Yes on 15 august. (i wrote something on refusal section on ds160)
VO. So is this your desire (while reading that what i wrote on my ds160)?
ME. YES (and i think this is reason of rejection)
furthermore at that time i think he said that (is this your desire to study in USA) but then i realize the question is (is this your desire to do employment in usa in companies like Google,Amazon,Facebook)
VO. said sorry i know you are a genuine student but you are not qualified for the visa.
 ME. Can you suggest me to change something in my profile?
VO. while giving the 214b white slip ( read this carefully)..
"
1,"
Vissa status : Rejected F1 vissa 
Counter # 6 VO seems Korean 
Date : 21 march 
VO: Why are you going Usa?
Me: 
to do my bachelors degree in computer science.
VO:why only USA? 
Me: well,it is most popular destination for international students.as you can’t compare the quality of education of US to any other country specially when it comes to it sector.it’s graduates are highly demanded all over the world.
VO:How did you got your admission in the university?
Me:I uploaded my academic documents in the university portal and got accepted from them,Got my I-20 . 
VO:Have you ever visited outside pakistan ?
Me:No
VO: how many universities did you apply ?
Me: 3
VO: and how many accepted you?
Me: 2 of them 
VO:why did you specifically choose Wright state university?
Me: I chose Wright state bcz of its computer science college and course curriculum,They provides the most advance courses and provides a lot of internship opportunities to there students.Moreover I got an scholarship of around $28k So I would be glad if I got a chance to avail the scholarship.
VO:who is going to sponsor you?
Me:my mother.
VO:what does she do?
Me:She is a business women,She owns a school.
VO: Sorry you are not eligible.
I don’t where I went wrong or may be my answers were not well. and what if I apply for 2nd attempt? Does students get the vissa in their 2nd 3rd attempt?
"
2,"
Hello there! 
My visa was rejected twice in 2021(transfer student) when i was still in 5th semester of my University doing bachelors. Now I've completed my undergrad in 2022 and have an year experience with Toyota in my field. 
Should I reapply for MS/MBA. Seeing that I wasn't granted visa two times, will the VO make sure i don't get it third time? 
I have property and apartments on my name. I run a business too and have a full time job. 
Need 
some guidance, Kindly. 
I'm highly confused. 
Any advice would be appreciated. Thanks.
"
3,"
F1 visa interview experience:
Rejected
18 Aug Isb embassy (young lady at right side of long beard guy)
Course: Masters in CS at florida state university.
(after handing over passport)
Vo: why do u want to go to usa
A:USA is the hub of AI and an industry leader in tech and i want to learn from the best of the best
Vo: who is sponsoring your education at FSU
Me: my brother is sponsoring my education, he works as a ME at X company in california and makes around 150k annually
Vo: what does your father do
Me: deceased , my brother has been supporting our family since his demise
Also i have been working as a data scientist for over 3 years in isb.
Vo: since how long is your brother in the usa?
Me:2015
Vo: is he married?
Me : he married in pakistan about 4 years ago
Vo: *thinking*
Me:  your visa is rejected , ( failed to show ties to home country)
Anyways, didnt apply to US again after this and applied for canada through SDS and i got accepted.
If you dont get accepted in US in the first try, rather than begging them in 2nd or 3rd try for a visa , just change your country because some of us are not born with silver spoons in our mouth , nor have any businesses to show ties.
"
4,"
Visa Appointed 9 June 
Islamabad Consulate 
Rejected
Vo: Hello, How are you?
Reply: Hello I am fine wbu.
Vo: So which University?
Reply: Oregon state University 
Vo: So English Course, as pathway writen on my F1.
Reply: yes.
Vo: after your course which program?
Reply: couldn't understand for the first time what she said
After a sec replied mechanical engineering 
And explained that pathway and direct entry students both start at the same time and I will be studying graduate courses simultaneously with basic English modules.
Vo: why this university?
Reply: As I visited a college fair organised by Usefp where different university representatives from USA participated and I got introduced to the course what oregon university were offering and I really like there educational model.
Vo: who is your sponsor 
Replied: my cousin 
Vo: where she lives
Replied: she lives in ____ city.
Vo: what she do
Reply: She is a ____ and works for US government.
Vo: okay which department 
Reply: told.
Vo: what about your parents?
Replied: my father died in late 2015 and my mother is a house wife.
Vo: why now , why study now
Reply: paused for a sec than explained as I am a project engineer in ____ and wants to study they courses which are helpful in my career growth when I will be returning back.
Vo: so you work
Replied: yes as a project engineer.
Vo: typing
Sorry your visa is not approved at this time. Please again. 
KINDLY SHARE FEEDBACK.
"
5,"
Visa Rejection and Approvals (F-1) 
Dear community, 
I have received 3 F visas in the past with no rejections. I have noticed people sharing their profiles and asking why those that have gotten visas think they were rejected. So with that, please take my advice as it suits you. 
1) 
Are you a genuine student? 
You should ask this question to yourself because life in US is not what is shown in Hollywood movies. Life is very challenging there and you being a genuine student means not increasing more issues for yourself. You can’t just change statuses easily, you can’t just start working there, you can’t just marry there, all these who create this illusions in your mind are not truthful. If your intent is to not study than do not consider applying for F visas. 
2) Can you really pay for a university that’s not offering you any scholarship?
With how the economy is of Pakistan, VO knows real well whether you will be able to pay or not. Don’t think you can just work there and pay for Tuition, health insurance, food, rent, bills, and save. You can’t do that on a 20 hour job. Also, it’s hard in a lot of universities now to get jobs and you can’t work off campus, so plan very very carefully. Don’t get yourself in that mess where you are stuck! If you can’t pay for your Tuition don’t lie about it. If you know your parents won’t be able to pay don’t get yourself in a bad shape. It’s better to go a little later with a better financial package than trying to hurry and than being in bad shape.
3) Getting rejected and immediately running for the next appointment 
Mainly those of you that get rejected are getting rejected on showing weak ties. You can’t just suddenly improve your ties in a week. Don’t rush the situation. Give yourself time to see what went wrong, is it really the university or is it that it was pretty obvious during interview that you won’t be able to pay as you say you will be or you were caught in a lie. Don’t underestimate the ability of VO to know about the circumstances. They are really good at scanning people, that’s what they do all day everyday. So lying about a situation will only get you refusals. When you get refused don’t panic and run for the next available appointment. Try to see what you can change depending upon what went wrong in your interview. 
4) Stay away from consultants! 
Applying for US visa and universities is pretty easy. It’s getting a good financial package is what’s difficult. So stay away from consultants!! They mostly are there to drain your money! I got three F visas and never went to a consultant. 
5) keep faith in yourself 
I know it’s easier for me to say that. But, losing faith in yourself will only put you in worst shape than what you are in. Always know, there are tons of places around the world where you can go study. One country is not what will define your future. Always take a step back and try applying to other countries. You might be able to get a really good package somewhere else. So don’t drain yourself emotionally or mentally! 
I hope this helps those who have been rejected and those that will apply in near future
"
6,"
I am rejected for F1 visa for USA in first attempt as I didn't mention the last five years job experience in D's 160. As considering the present situation of Pakistan what is best for me should I reschedule interview and change my DS 160. What do you suggest tell me what is best for me. Thanks
"
7,"
Hello everyone
My J1 scholar visa is rejected under section 221(a)(3)(a)(i) with No Waiver is available for the grounds of ineligibility.
What should I do?
How can I forward my appeal?
Need your kind help and suggestion, please.
"
8,"
Interview Experience.
Note: Long Post.
2 times rejected within 14 days.
16-08-2022 and 23-08-2022
Both 
time was female officers
3rd attempt
Status:
#Approved
 Alhumdulillah 
Embassy Islamabad
Slot:8am
Date:07-10-2022
Passport received:12-10-2022
Vo was a male with long beard.
Same profile, Nothing changed anything.
Me:Hey Good Morning How are you doing? 
Vo:Good Morning yes i am fine what about you?
Me:Yes i am also fine thanks for asking with smile like this
Vo:Looked at me  and said oh good to know.
Vo: Why you choose illinois?
Me: I select this university due to its excellent academic environment and wide range of specialization and they have outstanding facullty
staff members,moreover i got motivation from the alumni as they are serving in world wide top organizations as well as course structure 
attract me to select this university.
Vo:Well, What is your last degree?
Me: Bachelor in Computer science.
Vo:What is the name of that school?
Me:Told
Vo:What Happened last time?why you rejected?
Me: I dont know the exact reason may be i could not satisfy the officer. even i shocked when i see the yellow paper but at this time you
people are the judge so i have to admit the result.
Vo: Looked at me and said Ok Well Whats your future plan?
Me: Right after compeleted my studies i will come back to Pakistan and will open my own software house and then i will work with the
cooperate sector
Vo:Looked at me and asked what is cooperate sector?
Me:told about cooperate sector.
Vo:So your father is sponsering you?
Me:Yes My Father
Vo: Typing typing and Typing and then asked what does your father do?
Me:told
Vo:How Many emplooyes?
Me:told
Vo: why drivers in your father's business?
Me:For pickup the loads and for the delivery
Vo:How Many siblings?
Me:I have 2 bro and 2 sis all of them are happily married else me
Vo: What Does your brother do?
Me: Both brothers are doing their own business same like the Father's business category but you can say type is different.
Vo: Ok i got it. Typing typing typing and then asked who have higher grades in your home?
Me: to be honest i have keen interest in studies so among all of my siblings i have good grades :
Vo: Looked at my i-20 and asked how you will manage this huge amount?
Me: As i told you that i have keen interest in studies so my father motivate me that if you really want to study then go for it
dont worry about the fee and expenditure. and my father have enough saving for my 28 months trip so he can easily manage.
Vo: Typing almost for 1-3 min and handed my blue slip and said you seems like well preapared today. Have a nice time in US.
Me: You made my Day Thank you. Have a nice Day.Bye
Vo: Thank you and you too.
I was so excited when he handed me the blue slip even I can’t walk properly with the excitement what i mean is i was weeping with happiness 
 mtlb uper se ly kr bhir any tk even waiting area any tk m boht bytab tha k gahr m call kr k btaon kisi tarha asap!
But Alhumdulillah sab boht acha hua and i wish for all k Allah pak sab ko kamyab kary
Ameeeeeen.
"
9,"
Hello guyss
My J1 visa was rejected in December 2022 now I applied for F1 visa and in it I selected visa priority previously rejected but my previous visa was J1 which was not F1 so am I correct with this? Please guide me.
"
