,Id,Program,Degree Level,University,Sponsor,Scholarship,Relatives,Visa Attempt,Visa Result
0,,N/A,Bachelor's,Harvard,N/A,N/A,N/A,Second,Refused
1,,Pharmacy,Bachelors,SDSU,Father,N/A,N/A,First,Refused
2,,Computer Science,Masters,City University of Seattle,Father,N/A,N/A s,First,Refused
3,,N/A,N/A,N/A,Father,Yes,N/A,Second,Refused
4,,MBA with concentration in Business Analytics,Masters,University of Dallas (UD),Sister,N/A,"Sister
s","First
Visa Status",Refused
5,,N/A,N/A,N/A,N/A,N/A,No,First,Refused
6,,Business Administration and Management,Masters,LIU Brooklyn Campus,Father's Elder Brother,N/A,Uncle,First,Refused
7,,Doctorate of Business Administration,PhD,N/A,Self,N/A,N/A,First,Refused
8,,Cyber Security,Masters,UD (University not specified),Uncle,N/A,Uncle,First,Refused
9,,MSBA,Masters,University of Hartford,Father,$4000,No s,First,Refused
10,,Computer Science,Bachelors,University of Central Florida,N/A,N/A,N/A s,First,Refused
11,,N/A,N/A,N/A,N/A,N/A,N/A,Second,N/A
12,,N/A,N/A,N/A,N/A,N/A,Brother and nephews,First,Refused
13,,Cyber Security,Bachelors,Arkansas Tech University,Self,N/A,N/A s,First,Refused
14,,N/A,N/A,N/A,N/A,N/A,N/A,Second,Refused
15,,Computer Science,Masters,University of the Pacific,Father,N/A,N/A s,Second,Approved
16,,Computer Software Technology,N/A,N/A,Father,N/A,"Brother
s",First,Refused
17,,Computer Science,Masters,Maharishi International University,N/A,N/A,N/A,First,Refused
18,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
19,,Computer Science,N/A,Saint Louis University,Parents,Yes,Uncle,First,Refused
20,,N/A,N/A,N/A,N/A,N/A,N/A,First,Refused
21,,Accountancy,Bachelors,DePaul University,Father,Yes,N/A s,Second,Refused
22,,N/A,N/A,N/A,N/A,N/A,N/A,Second,Refused
23,,Data Sciences,Masters,XYZ University,N/A,N/A,N/A,Second,Refused
24,,Computing and Information Sciences,PhD,N/A,Fully funded PhD scholarship,Yes,N/A,First,Refused
25,,Computer Science,Bachelors,Missouri State University,Father,N/A,N/A s,Second,Refused
26,,Mechanical Engineering,Masters,N/A,Father,Yes,N/A,First,Refused
27,,Computer Science,Bachelors,University of Illinois at Chicago,Father,N/A,N/A s,First,Refused
28,,BSCS,Bachelors,St. Cloud State University,Father,Yes,N/A s,3,Rejected
29,,Data Science,Masters,University of New Haven,Father,N/A,N/A s,Second,Refused
30,,Finance,Masters,Illinois Institute of Technology,N/A,Yes,N/A s,Second,Refused
31,,Engineering Management,Masters,Westcliff Irvine,Father,N/A,N/A,Second,Refused
32,,Master's,Masters,Texas Tech State University,N/A,Yes,N/A s,First,Refused
33,,Structural Engineering,PhD,Caltech,N/A,Fully funded,N/A s,First,Refused
34,,Exercise Science,Bachelors,Central Michigan University,Father,50%,N/A,First,Refused
35,,MBA,Masters,Oklahoma City University,Parents,N/A,Father s,Third,Refused
36,,N/A,N/A,N/A,N/A,N/A,N/A,Second,Refused
37,,N/A,N/A,N/A,N/A,N/A,N/A,Second,Refused
38,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
39,,N/A,N/A,University of Wisconsin Milwaukee,Father,N/A,N/A,Second,Refused
40,,Entertainment Business,Masters,Full Sail University,Father,N/A,N/A s,First,Refused
