,Id,Program,Degree Level,University,Sponsor,Scholarship,Relatives,Visa Attempt,Visa Result
0,,N/A,Bachelor's,Harvard,N/A,N/A,N/A,Second,Refused
1,,Pharmacy,Bachelors,SDSU,Father,N/A,N/A,First,Refused
2,,Computer Science,Masters,City University of Seattle,Father,N/A,N/A,First,Refused
3,,N/A,N/A,N/A,Father,Yes,N/A,Second,Refused
4,,MBA,Masters,University of Dallas,Sister,N/A,Sister s,First Visa Status,Refused
5,,N/A,N/A,N/A,N/A,N/A,No,First,Refused
6,,Business Administration and Management,Masters,LIU Brooklyn Campus,Father's Elder Brother,N/A,Uncle,First,Refused
7,,Doctorate of Business Administration,PhD,N/A,Self,N/A,N/A,First,Refused
8,,Cyber Security,Masters,UD (University not specified),Uncle,N/A,Uncle,First,Refused
9,,MSBA,Masters,University of Hartford,Father,$4000,No,First,Refused
10,,Computer Science,Bachelors,University of Central Florida,N/A,N/A,N/A s,First,Refused
11,,N/A,N/A,N/A,N/A,N/A,N/A,Second,N/A
12,,N/A,N/A,N/A,N/A,N/A,Brother and nephews,First,Refused
13,,Cyber Security,Bachelors,Arkansas Tech University,Self,N/A,N/A s,First,Refused
14,,N/A,N/A,N/A,N/A,N/A,N/A,First,Refused
15,,Computer Science,Masters,University of the Pacific,Father,N/A,N/A s,Second,Approved
16,,Computer Software Technology,N/A,N/A,Father,N/A,"Brother
s",First,Refused
17,,Computer Science,Masters,Maharishi International University,N/A,N/A,N/A,First,Refused
18,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
19,,Computer Science,N/A,Saint Louis University,Parents,Yes,Uncle,First,Refused
20,,N/A,N/A,N/A,N/A,N/A,N/A,First,Refused
21,,Accountancy,Bachelors,DePaul University,Father,Yes,N/A,Second,Refused
22,,N/A,N/A,N/A,N/A,N/A,N/A,Second,Refused under 221g
23,,Data Sciences,Masters,XYZ University,N/A,N/A,N/A,Second,Refused
24,,Computing and Information Sciences,PhD,N/A,Fully funded PhD scholarship,Yes,N/A,First,Refused under 221g
25,,Computer Science,Bachelors,Missouri State University,Father,N/A,N/A,Second,Refused
26,,Mechanical Engineering,Masters,N/A,Father,Yes,N/A,First,Refused under 221(g)
27,,Computer Science,Bachelors,University of Illinois at Chicago,Father,N/A,N/A s,First,Refused
28,,Environmental Health,N/A,New York University,Father,N/A,N/A s,First Visa Status,Refused
29,,BSCS,Bachelors,St. Cloud State University,Father,Yes,N/A s,3,Rejected
30,,Data Science,Masters,Grand Valley State University,Father,N/A,N/A s,2,Refused
31,,Engineering Management,Masters,Westcliff Irvine,Father,N/A,N/A,Second,Refused
32,,Master's,Master's,Texas Tech State University,N/A,Yes,N/A s,First,Refused
33,,Structural Engineering,PhD,Caltech,N/A,Fully funded,N/A,First,Refused
34,,Exercise Science,Bachelors,Central Michigan University,Father,50%,N/A,First,Refused
35,,MBA,Masters,Oklahoma City University,Parents,N/A,Father s,Third,Refused
36,,N/A,N/A,N/A,N/A,N/A,N/A,Second,Refused under 221g
37,,N/A,N/A,N/A,N/A,N/A,N/A,Second,Refused
38,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
39,,N/A,N/A,University of Wisconsin Milwaukee,Father,N/A,N/A,Second,Refused
40,,Entertainment Business,Masters,Full Sail University,Father,N/A,N/A,First,Refused
