,Id,Program,Degree Level,University,Sponsor,Scholarship,Relatives,Visa Attempt,Visa Result
0,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,,N/A,Masters,University of Cumberlands,Brother,N/A,"Sisters and Brother
s",First,Approved
2,,Chemistry,PhD,University of Tulsa,N/A,Research Assistantship,N/A,N/A,N/A
3,,Public Health,Masters,N/A,Parents,N/A,Brother,First,Approved
4,,LLM,Masters,N/A,N/A,Fully/Partially Funded,N/A,N/A,N/A
5,,Computer Science,Undergraduate,University of Connecticut,Father,Yes,N/A s,First,Approved
6,,N/A,N/A,N/A,Self,N/A,"Spouse, Child",First,Approved
7,,Master's,Master's,ABC University,XYZ,N/A,N/A,First,Approved
8,,Civil Engineering,Masters,University of Alabama,Father,Graduate Assistantship,N/A,First,Approved
9,,Computer Science,Bachelors,The University of Southern Mississippi,Father,100%,N/A s,N/A,N/A
10,,Civil Engineering,PhD,University of Kansas,N/A,Yes,N/A,First,Approved
11,,Business Analytics,Masters,XYZ School,Self-finance and brother,Yes,Brother s,Second,Approved
12,,Engineering,Masters,N/A,N/A,N/A,N/A s,First,Approved
13,,Business Analytics,Masters,Mercer University,Father,N/A,N/A,First,Approved
14,,N/A,N/A,N/A,N/A,N/A,N/A,Second,Refused under 221g
